scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker
Crinia_remota,DOUBTFUL,Crinia,remota,True,False,Crinia remota,Crinia remota,Crinia remota,sp.
Crinia_riparia,DOUBTFUL,Crinia,riparia,True,False,Crinia riparia,Crinia riparia,Crinia riparia,sp.
Crinia_signifera,DOUBTFUL,Crinia,signifera,True,False,Crinia signifera,Crinia signifera,Crinia signifera,sp.
Crinia_subinsignifera,DOUBTFUL,Crinia,subinsignifera,True,False,Crinia subinsignifera,Crinia subinsignifera,Crinia subinsignifera,sp.
Crinia_tasmaniensis,DOUBTFUL,Crinia,tasmaniensis,True,False,Crinia tasmaniensis,Crinia tasmaniensis,Crinia tasmaniensis,sp.
Crinia_tinnula,DOUBTFUL,Crinia,tinnula,True,False,Crinia tinnula,Crinia tinnula,Crinia tinnula,sp.
Geocrinia_laevis,DOUBTFUL,Geocrinia,laevis,True,False,Geocrinia laevis,Geocrinia laevis,Geocrinia laevis,sp.
Geocrinia_leai,DOUBTFUL,Geocrinia,leai,True,False,Geocrinia leai,Geocrinia leai,Geocrinia leai,sp.
Geocrinia_victoriana,DOUBTFUL,Geocrinia,victoriana,True,False,Geocrinia victoriana,Geocrinia victoriana,Geocrinia victoriana,sp.
Metacrinia_nichollsi,DOUBTFUL,Metacrinia,nichollsi,True,False,Metacrinia nichollsi,Metacrinia nichollsi,Metacrinia nichollsi,sp.
Mixophyes_carbinensis,DOUBTFUL,Mixophyes,carbinensis,True,False,Mixophyes carbinensis,Mixophyes carbinensis,Mixophyes carbinensis,sp.
Mixophyes_coggeri,DOUBTFUL,Mixophyes,coggeri,True,False,Mixophyes coggeri,Mixophyes coggeri,Mixophyes coggeri,sp.
Mixophyes_fasciolatus,DOUBTFUL,Mixophyes,fasciolatus,True,False,Mixophyes fasciolatus,Mixophyes fasciolatus,Mixophyes fasciolatus,sp.
Mixophyes_schevilli,DOUBTFUL,Mixophyes,schevilli,True,False,Mixophyes schevilli,Mixophyes schevilli,Mixophyes schevilli,sp.
Rana_daemeli,DOUBTFUL,Rana,daemeli,True,False,Rana daemeli,Rana daemeli,Rana daemeli,sp.
Paracrinia_haswelli,DOUBTFUL,Paracrinia,haswelli,True,False,Paracrinia haswelli,Paracrinia haswelli,Paracrinia haswelli,sp.
Philoria_loveridgei,DOUBTFUL,Philoria,loveridgei,True,False,Philoria loveridgei,Philoria loveridgei,Philoria loveridgei,sp.
Philoria_pughi,DOUBTFUL,Philoria,pughi,True,False,Philoria pughi,Philoria pughi,Philoria pughi,sp.
Philoria_sphagnicolus,DOUBTFUL,Philoria,sphagnicolus,True,False,Philoria sphagnicolus,Philoria sphagnicolus,Philoria sphagnicolus,sp.
Pseudophryne_australis,DOUBTFUL,Pseudophryne,australis,True,False,Pseudophryne australis,Pseudophryne australis,Pseudophryne australis,sp.
Pseudophryne_coriacea,DOUBTFUL,Pseudophryne,coriacea,True,False,Pseudophryne coriacea,Pseudophryne coriacea,Pseudophryne coriacea,sp.
Pseudophryne_dendyi,DOUBTFUL,Pseudophryne,dendyi,True,False,Pseudophryne dendyi,Pseudophryne dendyi,Pseudophryne dendyi,sp.
Pseudophryne_douglasi,DOUBTFUL,Pseudophryne,douglasi,True,False,Pseudophryne douglasi,Pseudophryne douglasi,Pseudophryne douglasi,sp.
Pseudophryne_guentheri,DOUBTFUL,Pseudophryne,guentheri,True,False,Pseudophryne guentheri,Pseudophryne guentheri,Pseudophryne guentheri,sp.
Pseudophryne_occidentalis,DOUBTFUL,Pseudophryne,occidentalis,True,False,Pseudophryne occidentalis,Pseudophryne occidentalis,Pseudophryne occidentalis,sp.
Pseudophryne_semimarmorata,DOUBTFUL,Pseudophryne,semimarmorata,True,False,Pseudophryne semimarmorata,Pseudophryne semimarmorata,Pseudophryne semimarmorata,sp.
Taudactylus_acutirostris,DOUBTFUL,Taudactylus,acutirostris,True,False,Taudactylus acutirostris,Taudactylus acutirostris,Taudactylus acutirostris,sp.
Taudactylus_liemi,DOUBTFUL,Taudactylus,liemi,True,False,Taudactylus liemi,Taudactylus liemi,Taudactylus liemi,sp.
Uperoleia_arenicola,DOUBTFUL,Uperoleia,arenicola,True,False,Uperoleia arenicola,Uperoleia arenicola,Uperoleia arenicola,sp.
Uperoleia_aspera,DOUBTFUL,Uperoleia,aspera,True,False,Uperoleia aspera,Uperoleia aspera,Uperoleia aspera,sp.
Uperoleia_capitulata,DOUBTFUL,Uperoleia,capitulata,True,False,Uperoleia capitulata,Uperoleia capitulata,Uperoleia capitulata,sp.
Uperoleia_crassa,DOUBTFUL,Uperoleia,crassa,True,False,Uperoleia crassa,Uperoleia crassa,Uperoleia crassa,sp.
Uperoleia_glandulosa,DOUBTFUL,Uperoleia,glandulosa,True,False,Uperoleia glandulosa,Uperoleia glandulosa,Uperoleia glandulosa,sp.
Uperoleia_laevigata,DOUBTFUL,Uperoleia,laevigata,True,False,Uperoleia laevigata,Uperoleia laevigata,Uperoleia laevigata,sp.
Uperoleia_martini,DOUBTFUL,Uperoleia,martini,True,False,Uperoleia martini,Uperoleia martini,Uperoleia martini,sp.
Uperoleia_micromeles,DOUBTFUL,Uperoleia,micromeles,True,False,Uperoleia micromeles,Uperoleia micromeles,Uperoleia micromeles,sp.
Uperoleia_minima,DOUBTFUL,Uperoleia,minima,True,False,Uperoleia minima,Uperoleia minima,Uperoleia minima,sp.
Uperoleia_rugosa,DOUBTFUL,Uperoleia,rugosa,True,False,Uperoleia rugosa,Uperoleia rugosa,Uperoleia rugosa,sp.
Uperoleia_russelli,DOUBTFUL,Uperoleia,russelli,True,False,Uperoleia russelli,Uperoleia russelli,Uperoleia russelli,sp.
Uperoleia_saxatilis,DOUBTFUL,Uperoleia,saxatilis,True,False,Uperoleia saxatilis,Uperoleia saxatilis,Uperoleia saxatilis,sp.
Uperoleia_talpa,DOUBTFUL,Uperoleia,talpa,True,False,Uperoleia talpa,Uperoleia talpa,Uperoleia talpa,sp.
Uperoleia_tyleri,DOUBTFUL,Uperoleia,tyleri,True,False,Uperoleia tyleri,Uperoleia tyleri,Uperoleia tyleri,sp.
Crinia_bilingua,DOUBTFUL,Crinia,bilingua,True,False,Crinia bilingua,Crinia bilingua,Crinia bilingua,sp.
Crinia_deserticola,DOUBTFUL,Crinia,deserticola,True,False,Crinia deserticola,Crinia deserticola,Crinia deserticola,sp.
Litoria_aurifera,DOUBTFUL,Litoria,aurifera,True,False,Litoria aurifera,Litoria aurifera,Litoria aurifera,sp.
Litoria_cavernicola,DOUBTFUL,Litoria,cavernicola,True,False,Litoria cavernicola,Litoria cavernicola,Litoria cavernicola,sp.
Litoria_coplandi,DOUBTFUL,Litoria,coplandi,True,False,Litoria coplandi,Litoria coplandi,Litoria coplandi,sp.
Litoria_gilleni,DOUBTFUL,Litoria,gilleni,True,False,Litoria gilleni,Litoria gilleni,Litoria gilleni,sp.
Litoria_meiriana,DOUBTFUL,Litoria,meiriana,True,False,Litoria meiriana,Litoria meiriana,Litoria meiriana,sp.
Litoria_wilcoxii,DOUBTFUL,Litoria,wilcoxii,True,False,Litoria wilcoxii,Litoria wilcoxii,Litoria wilcoxii,sp.
Arenophryne_rotunda,DOUBTFUL,Arenophryne,rotunda,True,False,Arenophryne rotunda,Arenophryne rotunda,Arenophryne rotunda,sp.
Arenophryne_xiphorhyncha,DOUBTFUL,Arenophryne,xiphorhyncha,True,False,Arenophryne xiphorhyncha,Arenophryne xiphorhyncha,Arenophryne xiphorhyncha,sp.
Austrochaperina_fryi,DOUBTFUL,Austrochaperina,fryi,True,False,Austrochaperina fryi,Austrochaperina fryi,Austrochaperina fryi,sp.
Austrochaperina_gracilipes,DOUBTFUL,Austrochaperina,gracilipes,True,False,Austrochaperina gracilipes,Austrochaperina gracilipes,Austrochaperina gracilipes,sp.
Austrochaperina_pluvialis,DOUBTFUL,Austrochaperina,pluvialis,True,False,Austrochaperina pluvialis,Austrochaperina pluvialis,Austrochaperina pluvialis,sp.
Austrochaperina_robusta,DOUBTFUL,Austrochaperina,robusta,True,False,Austrochaperina robusta,Austrochaperina robusta,Austrochaperina robusta,sp.
Cyclorana_alboguttata,DOUBTFUL,Cyclorana,alboguttata,True,False,Cyclorana alboguttata,Cyclorana alboguttata,Cyclorana alboguttata,sp.
Cyclorana_australis,DOUBTFUL,Cyclorana,australis,True,False,Cyclorana australis,Cyclorana australis,Cyclorana australis,sp.
Cyclorana_brevipes,DOUBTFUL,Cyclorana,brevipes,True,False,Cyclorana brevipes,Cyclorana brevipes,Cyclorana brevipes,sp.
Cyclorana_cryptotis,DOUBTFUL,Cyclorana,cryptotis,True,False,Cyclorana cryptotis,Cyclorana cryptotis,Cyclorana cryptotis,sp.
Cyclorana_cultripes,DOUBTFUL,Cyclorana,cultripes,True,False,Cyclorana cultripes,Cyclorana cultripes,Cyclorana cultripes,sp.
Cyclorana_longipes,DOUBTFUL,Cyclorana,longipes,True,False,Cyclorana longipes,Cyclorana longipes,Cyclorana longipes,sp.
Cyclorana_maculosa,DOUBTFUL,Cyclorana,maculosa,True,False,Cyclorana maculosa,Cyclorana maculosa,Cyclorana maculosa,sp.
Cyclorana_manya,DOUBTFUL,Cyclorana,manya,True,False,Cyclorana manya,Cyclorana manya,Cyclorana manya,sp.
Cyclorana_novaehollandiae,DOUBTFUL,Cyclorana,novaehollandiae,True,False,Cyclorana novaehollandiae,Cyclorana novaehollandiae,Cyclorana novaehollandiae,sp.
Cyclorana_vagita,DOUBTFUL,Cyclorana,vagita,True,False,Cyclorana vagita,Cyclorana vagita,Cyclorana vagita,sp.
Cyclorana_verrucosa,DOUBTFUL,Cyclorana,verrucosa,True,False,Cyclorana verrucosa,Cyclorana verrucosa,Cyclorana verrucosa,sp.
Heleioporus_albopunctatus,DOUBTFUL,Heleioporus,albopunctatus,True,False,Heleioporus albopunctatus,Heleioporus albopunctatus,Heleioporus albopunctatus,sp.
Heleioporus_barycragus,DOUBTFUL,Heleioporus,barycragus,True,False,Heleioporus barycragus,Heleioporus barycragus,Heleioporus barycragus,sp.
Heleioporus_eyrei,DOUBTFUL,Heleioporus,eyrei,True,False,Heleioporus eyrei,Heleioporus eyrei,Heleioporus eyrei,sp.
Heleioporus_inornatus,DOUBTFUL,Heleioporus,inornatus,True,False,Heleioporus inornatus,Heleioporus inornatus,Heleioporus inornatus,sp.
Heleioporus_psammophilus,DOUBTFUL,Heleioporus,psammophilus,True,False,Heleioporus psammophilus,Heleioporus psammophilus,Heleioporus psammophilus,sp.
Limnodynastes_depressus,DOUBTFUL,Limnodynastes,depressus,True,False,Limnodynastes depressus,Limnodynastes depressus,Limnodynastes depressus,sp.
Limnodynastes_dorsalis,DOUBTFUL,Limnodynastes,dorsalis,True,False,Limnodynastes dorsalis,Limnodynastes dorsalis,Limnodynastes dorsalis,sp.
Limnodynastes_fletcheri,DOUBTFUL,Limnodynastes,fletcheri,True,False,Limnodynastes fletcheri,Limnodynastes fletcheri,Limnodynastes fletcheri,sp.
Limnodynastes_interioris,DOUBTFUL,Limnodynastes,interioris,True,False,Limnodynastes interioris,Limnodynastes interioris,Limnodynastes interioris,sp.
Limnodynastes_lignarius,DOUBTFUL,Limnodynastes,lignarius,True,False,Limnodynastes lignarius,Limnodynastes lignarius,Limnodynastes lignarius,sp.
Limnodynastes_peronii,DOUBTFUL,Limnodynastes,peronii,True,False,Limnodynastes peronii,Limnodynastes peronii,Limnodynastes peronii,sp.
Limnodynastes_tasmaniensis,DOUBTFUL,Limnodynastes,tasmaniensis,True,False,Limnodynastes tasmaniensis,Limnodynastes tasmaniensis,Limnodynastes tasmaniensis,sp.
Limnodynastes_terraereginae,DOUBTFUL,Limnodynastes,terraereginae,True,False,Limnodynastes terraereginae,Limnodynastes terraereginae,Limnodynastes terraereginae,sp.
Notaden_melanoscaphus,DOUBTFUL,Notaden,melanoscaphus,True,False,Notaden melanoscaphus,Notaden melanoscaphus,Notaden melanoscaphus,sp.
Uperoleia_altissima,DOUBTFUL,Uperoleia,altissima,True,False,Uperoleia altissima,Uperoleia altissima,Uperoleia altissima,sp.
Uperoleia_borealis,DOUBTFUL,Uperoleia,borealis,True,False,Uperoleia borealis,Uperoleia borealis,Uperoleia borealis,sp.
Uperoleia_inundata,DOUBTFUL,Uperoleia,inundata,True,False,Uperoleia inundata,Uperoleia inundata,Uperoleia inundata,sp.
Uperoleia_mimula,DOUBTFUL,Uperoleia,mimula,True,False,Uperoleia mimula,Uperoleia mimula,Uperoleia mimula,sp.
Uperoleia_mjobergii,DOUBTFUL,Uperoleia,mjobergii,True,False,Uperoleia mjobergii,Uperoleia mjobergii,Uperoleia mjobergii,sp.
Uperoleia_trachyderma,DOUBTFUL,Uperoleia,trachyderma,True,False,Uperoleia trachyderma,Uperoleia trachyderma,Uperoleia trachyderma,sp.
Myobatrachus_gouldii,DOUBTFUL,Myobatrachus,gouldii,True,False,Myobatrachus gouldii,Myobatrachus gouldii,Myobatrachus gouldii,sp.
Neobatrachus_albipes,DOUBTFUL,Neobatrachus,albipes,True,False,Neobatrachus albipes,Neobatrachus albipes,Neobatrachus albipes,sp.
Neobatrachus_pelobatoides,DOUBTFUL,Neobatrachus,pelobatoides,True,False,Neobatrachus pelobatoides,Neobatrachus pelobatoides,Neobatrachus pelobatoides,sp.
Neobatrachus_pictus,DOUBTFUL,Neobatrachus,pictus,True,False,Neobatrachus pictus,Neobatrachus pictus,Neobatrachus pictus,sp.
Neobatrachus_sutor,DOUBTFUL,Neobatrachus,sutor,True,False,Neobatrachus sutor,Neobatrachus sutor,Neobatrachus sutor,sp.
Neobatrachus_wilsmorei,DOUBTFUL,Neobatrachus,wilsmorei,True,False,Neobatrachus wilsmorei,Neobatrachus wilsmorei,Neobatrachus wilsmorei,sp.
Notaden_bennettii,DOUBTFUL,Notaden,bennettii,True,False,Notaden bennettii,Notaden bennettii,Notaden bennettii,sp.
Notaden_weigeli,DOUBTFUL,Notaden,weigeli,True,False,Notaden weigeli,Notaden weigeli,Notaden weigeli,sp.
Opisthodon_ornatus,DOUBTFUL,Opisthodon,ornatus,True,False,Opisthodon ornatus,Opisthodon ornatus,Opisthodon ornatus,sp.
Opisthodon_spenceri,DOUBTFUL,Opisthodon,spenceri,True,False,Opisthodon spenceri,Opisthodon spenceri,Opisthodon spenceri,sp.
Limnodynastes_convexiusculus,DOUBTFUL,Limnodynastes,convexiusculus,True,False,Limnodynastes convexiusculus,Limnodynastes convexiusculus,Limnodynastes convexiusculus,sp.
Notaden_nichollsi,DOUBTFUL,Notaden,nichollsi,True,False,Notaden nichollsi,Notaden nichollsi,Notaden nichollsi,sp.
Uperoleia_lithomoda,DOUBTFUL,Uperoleia,lithomoda,True,False,Uperoleia lithomoda,Uperoleia lithomoda,Uperoleia lithomoda,sp.
Litoria_adelaidensis,DOUBTFUL,Litoria,adelaidensis,True,False,Litoria adelaidensis,Litoria adelaidensis,Litoria adelaidensis,sp.
Litoria_burrowsae,DOUBTFUL,Litoria,burrowsae,True,False,Litoria burrowsae,Litoria burrowsae,Litoria burrowsae,sp.
Litoria_caerulea,DOUBTFUL,Litoria,caerulea,True,False,Litoria caerulea,Litoria caerulea,Litoria caerulea,sp.
Litoria_chloris,DOUBTFUL,Litoria,chloris,True,False,Litoria chloris,Litoria chloris,Litoria chloris,sp.
Litoria_citropa,DOUBTFUL,Litoria,citropa,True,False,Litoria citropa,Litoria citropa,Litoria citropa,sp.
Litoria_eucnemis,DOUBTFUL,Litoria,eucnemis,True,False,Litoria eucnemis,Litoria eucnemis,Litoria eucnemis,sp.
Litoria_gracilenta,DOUBTFUL,Litoria,gracilenta,True,False,Litoria gracilenta,Litoria gracilenta,Litoria gracilenta,sp.
Litoria_infrafrenata,DOUBTFUL,Litoria,infrafrenata,True,False,Litoria infrafrenata,Litoria infrafrenata,Litoria infrafrenata,sp.
Litoria_jungguy,DOUBTFUL,Litoria,jungguy,True,False,Litoria jungguy,Litoria jungguy,Litoria jungguy,sp.
Litoria_longirostris,DOUBTFUL,Litoria,longirostris,True,False,Litoria longirostris,Litoria longirostris,Litoria longirostris,sp.
Litoria_rothii,DOUBTFUL,Litoria,rothii,True,False,Litoria rothii,Litoria rothii,Litoria rothii,sp.
Litoria_rubella,DOUBTFUL,Litoria,rubella,True,False,Litoria rubella,Litoria rubella,Litoria rubella,sp.
Litoria_splendida,DOUBTFUL,Litoria,splendida,True,False,Litoria splendida,Litoria splendida,Litoria splendida,sp.
Litoria_barringtonensis,DOUBTFUL,Litoria,barringtonensis,True,False,Litoria barringtonensis,Litoria barringtonensis,Litoria barringtonensis,sp.
Litoria_bicolor,DOUBTFUL,Litoria,bicolor,True,False,Litoria bicolor,Litoria bicolor,Litoria bicolor,sp.
Litoria_brevipalmata,DOUBTFUL,Litoria,brevipalmata,True,False,Litoria brevipalmata,Litoria brevipalmata,Litoria brevipalmata,sp.
Litoria_cooloolensis,DOUBTFUL,Litoria,cooloolensis,True,False,Litoria cooloolensis,Litoria cooloolensis,Litoria cooloolensis,sp.
Litoria_cyclorhyncha,DOUBTFUL,Litoria,cyclorhyncha,True,False,Litoria cyclorhyncha,Litoria cyclorhyncha,Litoria cyclorhyncha,sp.
Litoria_dentata,DOUBTFUL,Litoria,dentata,True,False,Litoria dentata,Litoria dentata,Litoria dentata,sp.
Litoria_electrica,DOUBTFUL,Litoria,electrica,True,False,Litoria electrica,Litoria electrica,Litoria electrica,sp.
Litoria_fallax,DOUBTFUL,Litoria,fallax,True,False,Litoria fallax,Litoria fallax,Litoria fallax,sp.
Litoria_freycineti,DOUBTFUL,Litoria,freycineti,True,False,Litoria freycineti,Litoria freycineti,Litoria freycineti,sp.
Litoria_inermis,DOUBTFUL,Litoria,inermis,True,False,Litoria inermis,Litoria inermis,Litoria inermis,sp.
Litoria_jervisiensis,DOUBTFUL,Litoria,jervisiensis,True,False,Litoria jervisiensis,Litoria jervisiensis,Litoria jervisiensis,sp.
Litoria_littlejohni,DOUBTFUL,Litoria,littlejohni,True,False,Litoria littlejohni,Litoria littlejohni,Litoria littlejohni,sp.
Litoria_microbelos,DOUBTFUL,Litoria,microbelos,True,False,Litoria microbelos,Litoria microbelos,Litoria microbelos,sp.
Litoria_moorei,DOUBTFUL,Litoria,moorei,True,False,Litoria moorei,Litoria moorei,Litoria moorei,sp.
Litoria_nannotis,DOUBTFUL,Litoria,nannotis,True,False,Litoria nannotis,Litoria nannotis,Litoria nannotis,sp.
Litoria_nasuta,DOUBTFUL,Litoria,nasuta,True,False,Litoria nasuta,Litoria nasuta,Litoria nasuta,sp.
Litoria_pallida,DOUBTFUL,Litoria,pallida,True,False,Litoria pallida,Litoria pallida,Litoria pallida,sp.
Litoria_personata,DOUBTFUL,Litoria,personata,True,False,Litoria personata,Litoria personata,Litoria personata,sp.
Litoria_tornieri,DOUBTFUL,Litoria,tornieri,True,False,Litoria tornieri,Litoria tornieri,Litoria tornieri,sp.
Litoria_nigrofrenata,DOUBTFUL,Litoria,nigrofrenata,True,False,Litoria nigrofrenata,Litoria nigrofrenata,Litoria nigrofrenata,sp.
Litoria_nudidigita,DOUBTFUL,Litoria,nudidigita,True,False,Litoria nudidigita,Litoria nudidigita,Litoria nudidigita,sp.
Litoria_pearsoniana,DOUBTFUL,Litoria,pearsoniana,True,False,Litoria pearsoniana,Litoria pearsoniana,Litoria pearsoniana,sp.
Litoria_peronii,DOUBTFUL,Litoria,peronii,True,False,Litoria peronii,Litoria peronii,Litoria peronii,sp.
Litoria_phyllochroa,DOUBTFUL,Litoria,phyllochroa,True,False,Litoria phyllochroa,Litoria phyllochroa,Litoria phyllochroa,sp.
Litoria_revelata,DOUBTFUL,Litoria,revelata,True,False,Litoria revelata,Litoria revelata,Litoria revelata,sp.
Litoria_genimaculata,DOUBTFUL,Litoria,genimaculata,True,False,Litoria genimaculata,Litoria genimaculata,Litoria genimaculata,sp.
Acanthagenys_rufogularis,DOUBTFUL,Acanthagenys,rufogularis,True,False,Acanthagenys rufogularis,Acanthagenys rufogularis,Acanthagenys rufogularis,sp.
Acanthiza_ewingii,DOUBTFUL,Acanthiza,ewingii,True,False,Acanthiza ewingii,Acanthiza ewingii,Acanthiza ewingii,sp.
Acanthiza_inornata,DOUBTFUL,Acanthiza,inornata,True,False,Acanthiza inornata,Acanthiza inornata,Acanthiza inornata,sp.
Acanthiza_iredalei,DOUBTFUL,Acanthiza,iredalei,True,False,Acanthiza iredalei,Acanthiza iredalei,Acanthiza iredalei,sp.
Acanthiza_katherina,DOUBTFUL,Acanthiza,katherina,True,False,Acanthiza katherina,Acanthiza katherina,Acanthiza katherina,sp.
Acanthiza_lineata,DOUBTFUL,Acanthiza,lineata,True,False,Acanthiza lineata,Acanthiza lineata,Acanthiza lineata,sp.
Acanthiza_nana,DOUBTFUL,Acanthiza,nana,True,False,Acanthiza nana,Acanthiza nana,Acanthiza nana,sp.
Acanthiza_pusilla,DOUBTFUL,Acanthiza,pusilla,True,False,Acanthiza pusilla,Acanthiza pusilla,Acanthiza pusilla,sp.
Acanthiza_reguloides,DOUBTFUL,Acanthiza,reguloides,True,False,Acanthiza reguloides,Acanthiza reguloides,Acanthiza reguloides,sp.
Acanthiza_uropygialis,DOUBTFUL,Acanthiza,uropygialis,True,False,Acanthiza uropygialis,Acanthiza uropygialis,Acanthiza uropygialis,sp.
