scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker,infraSpecificEpithet,cultivarEpithet,nomStatus,authorship,bracketAuthorship,strain,notho
Glyphis glyphis,SCIENTIFIC,Glyphis,glyphis,True,False,Glyphis glyphis,Glyphis glyphis,Glyphis glyphis,sp.,,,,,,,
Hypseleotris gymnocephala,SCIENTIFIC,Hypseleotris,gymnocephala,True,False,Hypseleotris gymnocephala,Hypseleotris gymnocephala,Hypseleotris gymnocephala,sp.,,,,,,,
Melanotaenia sp. nov. 'Malanda',CULTIVAR,Melanotaenia,,True,False,Melanotaenia spec.,Melanotaenia spec. 'Malanda',Melanotaenia spec. 'Malanda',sp.,,Malanda,sp.nov.,,,,
Melanotaenia sp. nov. 'Running River',CULTIVAR,Melanotaenia,,True,False,Melanotaenia spec.,Melanotaenia spec. 'Running River',Melanotaenia spec. 'Running River',sp.,,Running River,sp.nov.,,,,
Mogurnda thermophila,SCIENTIFIC,Mogurnda,thermophila,True,False,Mogurnda thermophila,Mogurnda thermophila,Mogurnda thermophila,sp.,,,,,,,
Stiphodon semoni,SCIENTIFIC,Stiphodon,semoni,True,False,Stiphodon semoni,Stiphodon semoni,Stiphodon semoni,sp.,,,,,,,
Thymichthys politus,SCIENTIFIC,Thymichthys,politus,True,False,Thymichthys politus,Thymichthys politus,Thymichthys politus,sp.,,,,,,,
Assa wollumbin,SCIENTIFIC,Assa,wollumbin,True,False,Assa wollumbin,Assa wollumbin,Assa wollumbin,sp.,,,,,,,
Cophixalus concinnus,SCIENTIFIC,Cophixalus,concinnus,True,False,Cophixalus concinnus,Cophixalus concinnus,Cophixalus concinnus,sp.,,,,,,,
Cophixalus hosmeri,SCIENTIFIC,Cophixalus,hosmeri,True,False,Cophixalus hosmeri,Cophixalus hosmeri,Cophixalus hosmeri,sp.,,,,,,,
Cophixalus mcdonaldi,SCIENTIFIC,Cophixalus,mcdonaldi,True,False,Cophixalus mcdonaldi,Cophixalus mcdonaldi,Cophixalus mcdonaldi,sp.,,,,,,,
Cophixalus monticola,SCIENTIFIC,Cophixalus,monticola,True,False,Cophixalus monticola,Cophixalus monticola,Cophixalus monticola,sp.,,,,,,,
Cophixalus neglectus,SCIENTIFIC,Cophixalus,neglectus,True,False,Cophixalus neglectus,Cophixalus neglectus,Cophixalus neglectus,sp.,,,,,,,
Geocrinia alba = Anstisia alba,DOUBTFUL,Geocrinia,alba,True,False,Geocrinia alba alba,Geocrinia alba alba,Geocrinia alba alba,infrasp.,alba,,,,,,
Litoria castanea,SCIENTIFIC,Litoria,castanea,True,False,Litoria castanea,Litoria castanea,Litoria castanea,sp.,,,,,,,
Litoria kroombitensis,SCIENTIFIC,Litoria,kroombitensis,True,False,Litoria kroombitensis,Litoria kroombitensis,Litoria kroombitensis,sp.,,,,,,,
Litoria lorica,SCIENTIFIC,Litoria,lorica,True,False,Litoria lorica,Litoria lorica,Litoria lorica,sp.,,,,,,,
Litoria myola,SCIENTIFIC,Litoria,myola,True,False,Litoria myola,Litoria myola,Litoria myola,sp.,,,,,,,
Litoria nyakalensis,SCIENTIFIC,Litoria,nyakalensis,True,False,Litoria nyakalensis,Litoria nyakalensis,Litoria nyakalensis,sp.,,,,,,,
Litoria spenceri,SCIENTIFIC,Litoria,spenceri,True,False,Litoria spenceri,Litoria spenceri,Litoria spenceri,sp.,,,,,,,
Philoria frosti,SCIENTIFIC,Philoria,frosti,True,False,Philoria frosti,Philoria frosti,Philoria frosti,sp.,,,,,,,
Pseudophryne corroboree,SCIENTIFIC,Pseudophryne,corroboree,True,False,Pseudophryne corroboree,Pseudophryne corroboree,Pseudophryne corroboree,sp.,,,,,,,
Pseudophryne pengilleyi,SCIENTIFIC,Pseudophryne,pengilleyi,True,False,Pseudophryne pengilleyi,Pseudophryne pengilleyi,Pseudophryne pengilleyi,sp.,,,,,,,
Taudactylus pleione,SCIENTIFIC,Taudactylus,pleione,True,False,Taudactylus pleione,Taudactylus pleione,Taudactylus pleione,sp.,,,,,,,
Taudactylus rheophilus,SCIENTIFIC,Taudactylus,rheophilus,True,False,Taudactylus rheophilus,Taudactylus rheophilus,Taudactylus rheophilus,sp.,,,,,,,
Aipysurus apraefrontalis,SCIENTIFIC,Aipysurus,apraefrontalis,True,False,Aipysurus apraefrontalis,Aipysurus apraefrontalis,Aipysurus apraefrontalis,sp.,,,,,,,
Aipysurus foliosquama,SCIENTIFIC,Aipysurus,foliosquama,True,False,Aipysurus foliosquama,Aipysurus foliosquama,Aipysurus foliosquama,sp.,,,,,,,
Anilios insperatus,SCIENTIFIC,Anilios,insperatus,True,False,Anilios insperatus,Anilios insperatus,Anilios insperatus,sp.,,,,,,,
Austroablepharus barrylyoni,SCIENTIFIC,Austroablepharus,barrylyoni,True,False,Austroablepharus barrylyoni,Austroablepharus barrylyoni,Austroablepharus barrylyoni,sp.,,,,,,,
Carinascincus palfreymani,SCIENTIFIC,Carinascincus,palfreymani,True,False,Carinascincus palfreymani,Carinascincus palfreymani,Carinascincus palfreymani,sp.,,,,,,,
Cryptoblepharus egeriae,SCIENTIFIC,Cryptoblepharus,egeriae,True,False,Cryptoblepharus egeriae,Cryptoblepharus egeriae,Cryptoblepharus egeriae,sp.,,,,,,,
Ctenotus serotinus,SCIENTIFIC,Ctenotus,serotinus,True,False,Ctenotus serotinus,Ctenotus serotinus,Ctenotus serotinus,sp.,,,,,,,
Egernia roomi,SCIENTIFIC,Egernia,roomi,True,False,Egernia roomi,Egernia roomi,Egernia roomi,sp.,,,,,,,
Elseya albagula,SCIENTIFIC,Elseya,albagula,True,False,Elseya albagula,Elseya albagula,Elseya albagula,sp.,,,,,,,
Emydura subglobosa subglobosa,SCIENTIFIC,Emydura,subglobosa,True,False,Emydura subglobosa subglobosa,Emydura subglobosa subglobosa,Emydura subglobosa subglobosa,infrasp.,subglobosa,,,,,,
Lampropholis elongata,SCIENTIFIC,Lampropholis,elongata,True,False,Lampropholis elongata,Lampropholis elongata,Lampropholis elongata,sp.,,,,,,,
Lepidodactylus listeri,SCIENTIFIC,Lepidodactylus,listeri,True,False,Lepidodactylus listeri,Lepidodactylus listeri,Lepidodactylus listeri,sp.,,,,,,,
Nangura spinosa,SCIENTIFIC,Nangura,spinosa,True,False,Nangura spinosa,Nangura spinosa,Nangura spinosa,sp.,,,,,,,
Oedura lineata,SCIENTIFIC,Oedura,lineata,True,False,Oedura lineata,Oedura lineata,Oedura lineata,sp.,,,,,,,
Orraya occultus,SCIENTIFIC,Orraya,occultus,True,False,Orraya occultus,Orraya occultus,Orraya occultus,sp.,,,,,,,
Phyllurus gulbaru,SCIENTIFIC,Phyllurus,gulbaru,True,False,Phyllurus gulbaru,Phyllurus gulbaru,Phyllurus gulbaru,sp.,,,,,,,
Phyllurus kabikabi,SCIENTIFIC,Phyllurus,kabikabi,True,False,Phyllurus kabikabi,Phyllurus kabikabi,Phyllurus kabikabi,sp.,,,,,,,
Phyllurus pinnaclensis,SCIENTIFIC,Phyllurus,pinnaclensis,True,False,Phyllurus pinnaclensis,Phyllurus pinnaclensis,Phyllurus pinnaclensis,sp.,,,,,,,
Pseudemydura umbrina,SCIENTIFIC,Pseudemydura,umbrina,True,False,Pseudemydura umbrina,Pseudemydura umbrina,Pseudemydura umbrina,sp.,,,,,,,
Saltuarius eximius,SCIENTIFIC,Saltuarius,eximius,True,False,Saltuarius eximius,Saltuarius eximius,Saltuarius eximius,sp.,,,,,,,
Tiliqua scincoides intermedia,SCIENTIFIC,Tiliqua,scincoides,True,False,Tiliqua scincoides intermedia,Tiliqua scincoides intermedia,Tiliqua scincoides intermedia,infrasp.,intermedia,,,,,,
Tympanocryptis lineata,SCIENTIFIC,Tympanocryptis,lineata,True,False,Tympanocryptis lineata,Tympanocryptis lineata,Tympanocryptis lineata,sp.,,,,,,,
Tympanocryptis mccartneyi,SCIENTIFIC,Tympanocryptis,mccartneyi,True,False,Tympanocryptis mccartneyi,Tympanocryptis mccartneyi,Tympanocryptis mccartneyi,sp.,,,,,,,
Tympanocryptis pinguicolla,SCIENTIFIC,Tympanocryptis,pinguicolla,True,False,Tympanocryptis pinguicolla,Tympanocryptis pinguicolla,Tympanocryptis pinguicolla,sp.,,,,,,,
Varanus mitchelli,SCIENTIFIC,Varanus,mitchelli,True,False,Varanus mitchelli,Varanus mitchelli,Varanus mitchelli,sp.,,,,,,,
Wollumbinia georgesi = Myuchelys georgesi,DOUBTFUL,Wollumbinia,georgesi,True,False,Wollumbinia georgesi georgesi,Wollumbinia georgesi georgesi,Wollumbinia georgesi georgesi,infrasp.,georgesi,,,,,,
Acanthornis magna greeniana,SCIENTIFIC,Acanthornis,magna,True,False,Acanthornis magna greeniana,Acanthornis magna greeniana,Acanthornis magna greeniana,infrasp.,greeniana,,,,,,
Amytornis modestus obscurior,SCIENTIFIC,Amytornis,modestus,True,False,Amytornis modestus obscurior,Amytornis modestus obscurior,Amytornis modestus obscurior,infrasp.,obscurior,,,,,,
Amytornis striatus striatus,SCIENTIFIC,Amytornis,striatus,True,False,Amytornis striatus striatus,Amytornis striatus striatus,Amytornis striatus striatus,infrasp.,striatus,,,,,,
Anthochaera phrygia,SCIENTIFIC,Anthochaera,phrygia,True,False,Anthochaera phrygia,Anthochaera phrygia,Anthochaera phrygia,sp.,,,,,,,
Calidris ferruginea,SCIENTIFIC,Calidris,ferruginea,True,False,Calidris ferruginea,Calidris ferruginea,Calidris ferruginea,sp.,,,,,,,
Cinclosoma punctatum anachoreta,SCIENTIFIC,Cinclosoma,punctatum,True,False,Cinclosoma punctatum anachoreta,Cinclosoma punctatum anachoreta,Cinclosoma punctatum anachoreta,infrasp.,anachoreta,,,,,,
Cyclopsitta diophthalma coxeni,SCIENTIFIC,Cyclopsitta,diophthalma,True,False,Cyclopsitta diophthalma coxeni,Cyclopsitta diophthalma coxeni,Cyclopsitta diophthalma coxeni,infrasp.,coxeni,,,,,,
Epthianura crocea macgregori,SCIENTIFIC,Epthianura,crocea,True,False,Epthianura crocea macgregori,Epthianura crocea macgregori,Epthianura crocea macgregori,infrasp.,macgregori,,,,,,
Lathamus discolor,SCIENTIFIC,Lathamus,discolor,True,False,Lathamus discolor,Lathamus discolor,Lathamus discolor,sp.,,,,,,,
Lichenostomus melanops cassidix,SCIENTIFIC,Lichenostomus,melanops,True,False,Lichenostomus melanops cassidix,Lichenostomus melanops cassidix,Lichenostomus melanops cassidix,infrasp.,cassidix,,,,,,
Melanodryas cucullata melvillensis,SCIENTIFIC,Melanodryas,cucullata,True,False,Melanodryas cucullata melvillensis,Melanodryas cucullata melvillensis,Melanodryas cucullata melvillensis,infrasp.,melvillensis,,,,,,
Neophema chrysogaster,SCIENTIFIC,Neophema,chrysogaster,True,False,Neophema chrysogaster,Neophema chrysogaster,Neophema chrysogaster,sp.,,,,,,,
Numenius madagascariensis,SCIENTIFIC,Numenius,madagascariensis,True,False,Numenius madagascariensis,Numenius madagascariensis,Numenius madagascariensis,sp.,,,,,,,
Pedionomus torquatus,SCIENTIFIC,Pedionomus,torquatus,True,False,Pedionomus torquatus,Pedionomus torquatus,Pedionomus torquatus,sp.,,,,,,,
Pezoporus flaviventris,SCIENTIFIC,Pezoporus,flaviventris,True,False,Pezoporus flaviventris,Pezoporus flaviventris,Pezoporus flaviventris,sp.,,,,,,,
Pterodroma heraldica,SCIENTIFIC,Pterodroma,heraldica,True,False,Pterodroma heraldica,Pterodroma heraldica,Pterodroma heraldica,sp.,,,,,,,
Crocidura trichura,SCIENTIFIC,Crocidura,trichura,True,False,Crocidura trichura,Crocidura trichura,Crocidura trichura,sp.,,,,,,,
Gymnobelideus leadbeateri,SCIENTIFIC,Gymnobelideus,leadbeateri,True,False,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,sp.,,,,,,,
Lasiorhinus krefftii,SCIENTIFIC,Lasiorhinus,krefftii,True,False,Lasiorhinus krefftii,Lasiorhinus krefftii,Lasiorhinus krefftii,sp.,,,,,,,
Miniopterus orianae bassanii,SCIENTIFIC,Miniopterus,orianae,True,False,Miniopterus orianae bassanii,Miniopterus orianae bassanii,Miniopterus orianae bassanii,infrasp.,bassanii,,,,,,
Petrogale concinna concinna,SCIENTIFIC,Petrogale,concinna,True,False,Petrogale concinna concinna,Petrogale concinna concinna,Petrogale concinna concinna,infrasp.,concinna,,,,,,
Potorous gilbertii,SCIENTIFIC,Potorous,gilbertii,True,False,Potorous gilbertii,Potorous gilbertii,Potorous gilbertii,sp.,,,,,,,
