Frogs that are Extinct (4 EPBC species),,,,,
Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",,,,
Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",,,,
Bettongia pusilla,Nullarbor Dwarf Bettong,,,,
Caloprymnus campestris,Desert Rat-kangaroo,,,,
Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",,,,
Chaeropus yirratji,"Yirratji, Northern Pig-footed Bandicoot",,,,
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",,,,
Conilurus capricornensis,Capricorn Rabbit-rat,,,,
Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",,,,
Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",,,,
Lagorchestes leporides,Eastern Hare-wallaby,,,,
Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),,,,
Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",,,,
Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",,,,
Melomys rubicola,Bramble Cay Melomys,,,,
Notamacropus greyi,Toolache Wallaby,,,,
Notomys amplus,"Short-tailed Hopping-mouse, Yoontoo",,,,
Notomys longicaudatus,"Long-tailed Hopping-mouse, Koolawa, Talamba",,,,
Notomys macrotis,"Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse",,,,
Notomys mordax,"Darling Downs Hopping-mouse, Payi",,,,
Notomys robustus,"Broad-cheeked Hopping-mouse, Great Hopping-mouse",,,,
Nyctophilus howensis,"Lord Howe Long-eared Bat, Lord Howe Island Bat",,,,
Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",,,,
Perameles bougainville fasciata = Perameles fasciata,"Western Barred Bandicoot (eastern), Liverpool Plains Striped Bandicoot",,,,
Perameles eremiana,"Desert Bandicoot, Walilya",,,,
Perameles myosurus = Perameles myosuros,"Marl, Western Barred Bandicoot",,,,
Perameles notina,South-eastern Striped Bandicoot,,,,
Perameles papillon,"Butterfly Bandicoot, Nullarbor Barred Bandicoot",,,,
Pipistrellus murrayi,Christmas Island Pipistrelle,,,,
Potorous platyops,"Broad-faced Potoroo, Moda",,,,
Pseudomys auritus,Long-eared Mouse,,,,
Pseudomys glaucus,Blue-grey Mouse,,,,
Pseudomys gouldii,"Gould's Mouse, Koontin",,,,
Pteropus brunneus,"Percy Island Flying-fox, Dusky Fruit Bat",,,,
Rattus macleari,"Maclear's Rat, Christmas Island Rat",,,,
Rattus nativitatis,"Bulldog Rat, Christmas Island Burrowing Rat",,,,
Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",,,,
Other Animals that are Extinct (1 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Hypolimnus pedderensis,Lake Pedder Earthworm,,,,
Fishes that are Extinct in the wild (1 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Galaxias pedderensis,Pedder Galaxias,,,,
Fishes that are Critically Endangered (25 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Bidyanus bidyanus,"Silver Perch, Bidyan",,,,
Brachionichthys hirsutus,Spotted Handfish,,,,
Cairnsichthys bitaeniatus,Daintree Rainbowfish,,,,
Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),,,,
Galaxias aequipinnis,East Gippsland Galaxias,,,,
Galaxias brevissimus,Short-tail Galaxias,,,,
Galaxias gunaikurnai,Shaw Galaxias,,,,
Galaxias lanceolatus,Tapered Galaxias,,,,
Galaxias longifundus,West Gippsland Galaxias,,,,
Galaxias mcdowalli,McDowall's Galaxias,,,,
Galaxias mungadhan,Dargo Galaxias,,,,
Galaxias rostratus,"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",,,,
Galaxias sp. nov. 'Hunter',"Hunter Galaxias, Hunter Upland Galaxias",,,,
Galaxias sp. nov. 'Moroka',Moroka Galaxias,,,,
Galaxias sp. nov. 'Morwell',Morwell Galaxias,,,,
Galaxias sp. nov. 'Yalmy',Yalmy Galaxias,,,,
Galaxias supremus,Kosciuszko Galaxias,,,,
Galaxias tantangara,Stocky Galaxias,,,,
Glyphis glyphis,Speartooth Shark,,,,
Hypseleotris gymnocephala,Bald Carp Gudgeon,,,,
Melanotaenia sp. nov. 'Malanda',Malanda Rainbowfish,,,,
Melanotaenia sp. nov. 'Running River',Running River Rainbowfish,,,,
Mogurnda thermophila,"Dalhousie Mogurnda, Dalhousie Purple-spotted Gudgeon",,,,
Stiphodon semoni,Opal Cling Goby,,,,
Thymichthys politus,Red Handfish,,,,
Frogs that are Critically Endangered (18 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Assa wollumbin,"Mount Wollumbin Hip-pocket Frog, Wollumbin Pouched Frog",,,,
Cophixalus concinnus,Elegant Frog,,,,
Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",,,,
Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",,,,
Cophixalus monticola,Mountain-top Nursery-frog,,,,
Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",,,,
Geocrinia alba = Anstisia alba,"White-bellied Frog, Creek Frog",,,,
Litoria castanea,"Yellow-spotted Tree Frog, Yellow-spotted Bell Frog",,,,
Litoria kroombitensis,Kroombit Treefrog,,,,
Litoria lorica,Armoured Mist Frog,,,,
Litoria myola,Kuranda Tree Frog,,,,
Litoria nyakalensis,"Mountain Mist Frog, Nyakala Frog",,,,
Litoria spenceri,Spotted Tree Frog,,,,
Philoria frosti,Baw Baw Frog,,,,
Pseudophryne corroboree,Southern Corroboree Frog,,,,
Pseudophryne pengilleyi,Northern Corroboree Frog,,,,
Taudactylus pleione,"Kroombit Tinker Frog, Pleione's Torrent Frog",,,,
Taudactylus rheophilus,Tinkling Frog,,,,
Reptiles that are Critically Endangered (26 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Aipysurus apraefrontalis,"Short-nosed Sea Snake, Short-nosed Seasnake",,,,
Aipysurus foliosquama,"Leaf-scaled Sea Snake, Leaf-scaled Seasnake",,,,
Anilios insperatus,Fassifern Blind Snake,,,,
Austroablepharus barrylyoni,"Lyon's Grassland Striped Skink, Lyon's Snake-eyed Skink",,,,
Carinascincus palfreymani,"Pedra Branca Skink, Pedra Branca Cool-skink, Red-throated Skink",,,,
Cryptoblepharus egeriae,"Christmas Island Blue-tailed Skink, Blue-tailed Snake-eyed Skink",,,,
Ctenotus serotinus,Gravel Downs Ctenotus,,,,
Egernia roomi,"Kaputar Rock Skink, Mt Kaputar Rock Skink",,,,
Elseya albagula,"Southern Snapping Turtle, White-throated Snapping Turtle",,,,
Emydura subglobosa subglobosa,"Jardine River Turtle, Red-flushed River Turtle",,,,
Lampropholis elongata,Long Sunskink,,,,
Lepidodactylus listeri,"Christmas Island Gecko, Lister's Gecko",,,,
Nangura spinosa,Nangur Spiny Skink,,,,
Oedura lineata,Arcadia Velvet Gecko,,,,
Orraya occultus,"Long-necked Northern Leaf-tailed Gecko, McIlwraith Leaf-tailed Gecko",,,,
Phyllurus gulbaru,Gulbaru Gecko,,,,
Phyllurus kabikabi,Oakview Leaf-tailed Gecko,,,,
Phyllurus pinnaclensis,Pinnacles Leaf-tailed Gecko,,,,
Pseudemydura umbrina,Western Swamp Tortoise,,,,
Saltuarius eximius,Cape Melville Leaf-tail Gecko,,,,
Tiliqua scincoides intermedia,Northern Blue-tongued Skink,,,,
Tympanocryptis lineata,"Canberra Grassland Earless Dragon, Lined Earless Dragon",,,,
Tympanocryptis mccartneyi,Bathurst Grassland Earless Dragon,,,,
Tympanocryptis pinguicolla,Victorian Grassland Earless Dragon,,,,
Varanus mitchelli,Mitchell's Water Monitor,,,,
Wollumbinia georgesi = Myuchelys georgesi,"Georges' Snapping Turtle, Bellinger River Sawshell Turtle, Georges Helmeted Turtle",,,,
Birds that are Critically Endangered (16 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",,,,
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",,,,
Amytornis striatus striatus,"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",,,,
Anthochaera phrygia,Regent Honeyeater,,,,
Calidris ferruginea,Curlew Sandpiper,,,,
Cinclosoma punctatum anachoreta,"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",,,,
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,,,,
Epthianura crocea macgregori,"Capricorn Yellow Chat, Yellow Chat (Dawson)",,,,
Lathamus discolor,Swift Parrot,,,,
Lichenostomus melanops cassidix,"Helmeted Honeyeater, Yellow-tufted Honeyeater (Helmeted)",,,,
Melanodryas cucullata melvillensis,"Tiwi Islands Hooded Robin, Hooded Robin (Tiwi Islands)",,,,
Neophema chrysogaster,Orange-bellied Parrot,,,,
Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",,,,
Pedionomus torquatus,Plains-wanderer,,,,
Pezoporus flaviventris,"Western Ground Parrot, Kyloring",,,,
Pterodroma heraldica,Herald Petrel,,,,
Mammals that are Critically Endangered (9 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Crocidura trichura,Christmas Island Shrew,,,,
Gymnobelideus leadbeateri,Leadbeater's Possum,,,,
Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",,,,
Miniopterus orianae bassanii,Southern Bent-wing Bat,,,,
Petrogale concinna concinna,Nabarlek (Victoria River District),,,,
Potorous gilbertii,"Gilbert's Potoroo, Ngilkat",,,,
Pseudocheirus occidentalis,"Western Ringtail Possum, Ngwayir, Womp, Woder, Ngoor, Ngoolangit",,,,
Pteropus natalis,"Christmas Island Flying-fox, Christmas Island Fruit-bat",,,,
Zyzomys pedunculatus,"Central Rock-rat, Antina",,,,
Other Animals that are Critically Endangered (42 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",,,,
Advena campbellii,Campbell's Keeled Glass-snail,,,,
Ammoniropa vigens,Ammonite Pinwheel Snail,,,,
Argynnis hyperbius inconstans,Australian Fritillary,,,,
Cherax tenuimanus,"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",,,,
Cormodes darwini,a beetle,,,,
Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",,,,
Engaewa pseudoreducta,Margaret River Burrowing Crayfish,,,,
Engaewa reducta,Dunsborough Burrowing Crayfish,,,,
Euastacus bindal,Mt Elliot Crayfish,,,,
Euastacus binzayedi,Embezee's Crayfish,,,,
Euastacus dalagarbe,Mud Gully Crayfish,,,,
Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,,,,
Euastacus guwinus,Tianjara Crayfish,,,,
Euastacus jagabar,Blue-black Crayfish,,,,
Euastacus jagara,Jagara Hairy Crayfish,,,,
Euastacus maidae,"Hinterland Spiny Crayfish, Hinterland Crayfish",,,,
Euastacus morgani,Morgan's Crayfish,,,,
Euastacus vesper,Cudgegong Giant Spiny Crayfish,,,,
Gudeoconcha sophiae magnifica,Magnificent Helicarionid Land Snail,,,,
Hesperocolletes douglasi,"Douglas' Broad-headed Bee, Rottnest Bee",,,,
Hoplogonus bornemisszai,Bornemissza's Stag Beetle,,,,
Hypochrysops piceatus,Bulloak Jewel Butterfly,,,,
Hyridella glenelgensis,Glenelg Freshwater Mussel,,,,
Leioproctus douglasiellus,a short-tongued bee,,,,
Marginaster littoralis,Derwent River Seastar,,,,
Mathewsoconcha grayi ms,Gray's Helicarionid Land Snail,,,,
Mathewsoconcha phillipii,Phillip Island Helicarionid Land Snail,,,,
Mathewsoconcha suteri,Suter's Striped Glass-snail,,,,
Micropathus kiernani,"Francistown Cave Cricket, Southern sandstone cave cricket",,,,
Mystivagor mastersi,Masters' Charopid Land Snail,,,,
Neopasiphae simplicior,A native bee,,,,
Ogyris subterrestris petrina,Arid Bronze Azure,,,,
Ordtrachia septentrionalis,Rosewood Keeled Snail,,,,
Pericryptodrilus nanus,Lord Howe Earthworm,,,,
Promethis sterrha,a beetle,,,,
Pseudocharopa ledgbirdi,Mount Lidgbird Charopid Land Snail,,,,
Pseudocharopa whiteleggei,Whitelegge's Land Snail,,,,
Pseudococcus markharveyi,Banksia montana mealybug,,,,
Quintalia stoddartii,Stoddart's Helicarionid Land Snail,,,,
Thersites mitchellae,Mitchell's Rainforest Snail,,,,
Zephyrarchaea austini,Kangaroo Island Assassin Spider,,,,
Fishes that are Endangered (26 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Cairnsichthys rhombosomoides,"Cairns Rainbowfish, Northern Soft-spined Sunfish",,,,
Chlamydogobius micropterus,Elizabeth Springs Goby,,,,
Craterocephalus fluviatilis,Murray Hardyhead,,,,
Galaxias auratus,Golden Galaxias,,,,
Galaxias fontanus,Swan Galaxias,,,,
Galaxias fuscus,Barred Galaxias,,,,
Galaxias johnstoni,Clarence Galaxias,,,,
Galaxias terenasus,Roundsnout Galaxias,,,,
Galaxias truttaceus (Western Australian population),Western Trout Minnow,,,,
Galaxiella nigrostriata,"Blackstriped Dwarf Galaxias, Black-stripe Minnow",,,,
Galaxiella pusilla,"Eastern Dwarf Galaxias, Dwarf Galaxias",,,,
Glyphis garricki,"Northern River Shark, New Guinea River Shark",,,,
Hippocampus whitei,"White's Seahorse, Crowned Seahorse, Sydney Seahorse",,,,
Maccullochella ikei,"Clarence River Cod, Eastern Freshwater Cod",,,,
Maccullochella macquariensis,Trout Cod,,,,
Maccullochella mariensis,Mary River Cod,,,,
Macquaria australasica,Macquarie Perch,,,,
Melanotaenia eachamensis,Lake Eacham Rainbowfish,,,,
Mordacia praecox,"Non-parasitic Lamprey, Precocious Lamprey",,,,
Nannoperca obscura,Yarra Pygmy Perch,,,,
Nannoperca oxleyana,Oxleyan Pygmy Perch,,,,
Nannoperca pygmaea,Little Pygmy Perch,,,,
Paragalaxias mesotes,Arthurs Paragalaxias,,,,
Pseudomugil mellis,"Honey Blue Eye, Honey Blue-eye",,,,
Scaturiginichthys vermeilipinnis,"Redfin Blue Eye, Redfin Blue-eye",,,,
Zearaja maugeana,"Maugean Skate, Port Davey Skate",,,,
Frogs that are Endangered (11 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Cophixalus aenigma,Tapping Nursery-frog,,,,
Crinia sloanei,Sloane's Froglet,,,,
Litoria booroolongensis,Booroolong Frog,,,,
Litoria littlejohni,"Northern Heath Frog, Littlejohn's Tree Frog",,,,
Litoria watsoni,"Southern Heath Frog, Watson's Tree Frog",,,,
Mixophyes fleayi,Fleay's Frog,,,,
Philoria kundagungan,Mountain Frog,,,,
Philoria richmondensis,Richmond Range Sphagnum Frog,,,,
Taudactylus eungellensis,Eungella Day Frog,,,,
Uperoleia mahonyi,Mahony's Toadlet,,,,
Uperoleia martini,Martin's Toadlet,,,,
Reptiles that are Endangered (32 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Bellatorias obiri,Arnhem Land Egernia,,,,
Caretta caretta,Loggerhead Turtle,,,,
Carinascincus greeni,"Alpine Cool-skink, Northern Snow Skink",,,,
Carinascincus microlepidotus,"Boulder Cool-skink, Southern Snow Skink",,,,
Carinascincus orocryptus,"Heath Cool-skink, Mountain Skink",,,,
Cryptoblepharus gurrmul,Arafura Snake-eyed Skink,,,,
Cyclodomorphus praealtus,Alpine She-oak Skink,,,,
Cyrtodactylus sadleiri,Christmas Island Giant Gecko,,,,
Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",,,,
Egernia stokesii badia,"Western Spiny-tailed Skink, Baudin Island Spiny-tailed Skink",,,,
Elseya lavarackorum,Gulf Snapping Turtle,,,,
Elusor macrurus,"Mary River Turtle, Mary River Tortoise",,,,
Eulamprus leuraensis,Blue Mountains Water Skink,,,,
Eulamprus tympanum marnieae,"Corangamite Water Skink, Dreeite Water Skink",,,,
Hemiaspis damelii,Grey Snake,,,,
Hoplocephalus bungaroides,Broad-headed Snake,,,,
Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",,,,
Lerista allanae,"Allan's Lerista, Retro Slider",,,,
Lerista nevinae,Nevin's Slider,,,,
Liopholis guthega,Guthega Skink,,,,
Liopholis montana,Mountain Skink,,,,
Liopholis slateri slateri,"Slater's Skink, Floodplain Skink",,,,
Lissolepis coventryi,"Swamp Skink, Eastern Mourning Skink",,,,
Lucasium occultum,"Yellow-snouted Gecko, Yellow-snouted Ground Gecko",,,,
Myuchelys belli,Western Sawshelled Turtle,,,,
Myuchelys purvisi,Purvis' Turtle,,,,
Pseudemoia cryodroma,"Alpine Bog Skink, Alpine Bog-skink",,,,
Saltuarius kateae,Kate's Leaf-tail Gecko,,,,
Tiliqua adelaidensis,"Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",,,,
Tympanocryptis condaminensis,Condamine Earless Dragon,,,,
Tympanocryptis osbornei,Monaro Grassland Earless Dragon,,,,
Varanus mertensi,"Mertens' Water Monitor, Mertens's Water Monitor",,,,
Birds that are Endangered (71 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Acanthiza pusilla magnirostris,"King Island Brown Thornbill, Brown Thornbill (King Island)",,,,
Accipiter hiogaster natalis,Christmas Island Goshawk,,,,
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",,,,
Amytornis dorotheae,Carpentarian Grasswren,,,,
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",,,,
Amytornis striatus howei,"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",,,,
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",,,,
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",,,,
Atrichornis rufescens,Rufous Scrub-bird,,,,
Botaurus poiciloptilus,Australasian Bittern,,,,
Calamanthus pyrrhopygius parkeri = Hylacola pyrrhopygia parkeri,Chestnut-rumped Heathwren (Mt Lofty Ranges),,,,
Callocephalon fimbriatum,Gang-gang Cockatoo,,,,
Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,,,,
Calyptorhynchus baudinii = Zanda baudinii,"Baudin's Cockatoo, Long-billed Black-Cockatoo",,,,
Calyptorhynchus lathami halmaturinus,"Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)",,,,
Calyptorhynchus latirostris = Zanda latirostris,"Carnaby's Cockatoo, Short-billed Black-Cockatoo",,,,
Casuarius casuarius johnsonii,"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",,,,
Ceyx azureus diemenensis,Tasmanian Azure Kingfisher,,,,
Chalcophaps indica natalis,"Christmas Island Emerald Dove, Emerald Dove (Christmas Island)",,,,
Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",,,,
Cyanoramphus cookii,"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",,,,
Dasyornis brachypterus,Eastern Bristlebird,,,,
Dasyornis longirostris,Western Bristlebird,,,,
Diomedea amsterdamensis,Amsterdam Albatross,,,,
Diomedea dabbenena,Tristan Albatross,,,,
Diomedea sanfordi,Northern Royal Albatross,,,,
Epthianura crocea tunneyi,"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",,,,
Erythrotriorchis radiatus,Red Goshawk,,,,
Erythrura gouldiae,Gouldian Finch,,,,
Fregata andrewsi,"Christmas Island Frigatebird, Andrew's Frigatebird",,,,
Hypotaenidia philippensis andrewsi,"Buff-banded Rail (Cocos (Keeling) Islands), Ayam Hutan",,,,
Hypotaenidia sylvestris,Lord Howe Woodhen,,,,
Limosa lapponica baueri,"Nunivak Bar-tailed Godwit, Western Alaskan Bar-tailed Godwit",,,,
Limosa lapponica menzbieri,"Northern Siberian Bar-tailed Godwit, Russkoye Bar-tailed Godwit",,,,
Limosa limosa,Black-tailed Godwit,,,,
Lophochroa leadbeateri leadbeateri,"Major Mitchell's Cockatoo (eastern), Eastern Major Mitchell's Cockatoo, Pink Cockatoo (eastern)",,,,
Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",,,,
Malurus coronatus coronatus,Purple-crowned Fairy-wren (western),,,,
Manorina melanotis,Black-eared Miner,,,,
Melanodryas cucullata cucullata,"South-eastern Hooded Robin, Hooded Robin (south-eastern)",,,,
Melithreptus brevirostris magnirostris,Kangaroo Island Brown-headed Honeyeater,,,,
Neochmia ruficauda ruficauda,"Star Finch (eastern), Star Finch (southern)",,,,
Nesoptilotis leucotis thomasi,Kangaroo Island White-eared Honeyeater,,,,
Ninox novaeseelandiae undulata,"Norfolk Island Boobook, Norfolk Island Morepork, Southern Boobook (Norfolk Island)",,,,
Papasula abbotti,Abbott's Booby,,,,
Pardalotus quadragintus,Forty-spotted Pardalote,,,,
Pezoporus occidentalis,Night Parrot,,,,
Phaethon lepturus fulvus,"Christmas Island White-tailed Tropicbird, Golden Bosunbird",,,,
Phaethon rubricauda westralis,"Red-tailed Tropicbird (Indian Ocean), Indian Ocean Red-tailed Tropicbird",,,,
Poephila cincta cincta,Southern Black-throated Finch,,,,
Psephotus chrysopterygius,"Golden-shouldered Parrot, Alwal, Thaku, Arrmorral, Minpin",,,,
Psophodes leucogaster leucogaster,Mallee Whipbird,,,,
Psophodes nigrogularis lashmari = Psophodes leucogaster lashmari,Western Whipbird (Kangaroo Island),,,,
Psophodes nigrogularis nigrogularis,Western Heath Whipbird,,,,
Pterodroma leucoptera leucoptera,"Gould's Petrel, Australian Gould's Petrel",,,,
Rostratula australis,Australian Painted Snipe,,,,
Stagonopleura bella samueli,"Western Beautiful Firetail, Beautiful Firetail (Mt Lofty Range and Kangaroo Island)",,,,
Sterna vittata bethunei,"New Zealand Antarctic Tern, Antarctic Tern (New Zealand)",,,,
Stipiturus malachurus halmaturinus,Kangaroo Island Southern Emu-wren,,,,
Stipiturus malachurus intermedius,"Fleurieu Peninsula Southern Emu-wren, Mount Lofty Southern Emu-wren",,,,
Stipiturus malachurus parimeda,"Southern Emu-wren (Eyre Peninsula), Eyre Peninsula Southern Emu-wren",,,,
Stipiturus mallee,Mallee Emu-wren,,,,
Thalassarche cauta,Shy Albatross,,,,
Thalassarche chrysostoma,Grey-headed Albatross,,,,
Thalassarche eremita,Chatham Albatross,,,,
Tringa nebularia,"Common Greenshank, Greenshank",,,,
Turdus poliocephalus erythropleurus,Christmas Island Thrush,,,,
Turnix olivii,Buff-breasted Button-quail,,,,
Turnix varius scintillans,Painted Button-quail (Houtman Abrolhos),,,,
Tyto novaehollandiae melvillensis,"Tiwi Masked Owl, Tiwi Islands Masked Owl",,,,
Zoothera lunulata halmaturina,"South Australian Bassian Thrush, Western Bassian Thrush",,,,
Mammals that are Endangered (46 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Antechinus argentus,Silver-headed Antechinus,,,,
Antechinus arktos,Black-tailed Antechinus,,,,
Arctocephalus tropicalis,Subantarctic Fur-seal,,,,
Balaenoptera musculus,Blue Whale,,,,
Bettongia penicillata ogilbyi,Woylie,,,,
Bettongia tropica,Northern Bettong,,,,
Burramys parvus,Mountain Pygmy-possum,,,,
Chalinolobus dwyeri,"Large-eared Pied Bat, Large Pied Bat",,,,
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat",,,,
Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",,,,
Dasyurus maculatus gracilis,"Spotted-tailed Quoll (North Queensland), Yarri",,,,
Dasyurus maculatus maculatus (SE mainland population),"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (southeastern mainland population)",,,,
Dasyurus viverrinus,"Eastern Quoll, Luaner",,,,
Eubalaena australis,Southern Right Whale,,,,
Hipposideros inornatus,Arnhem Leaf-nosed Bat,,,,
Isoodon obesulus obesulus,"Southern Brown Bandicoot (eastern), Southern Brown Bandicoot (south-eastern)",,,,
Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",,,,
Mastacomys fuscus mordicus,"Broad-toothed Rat (mainland), Tooarrana",,,,
Mesembriomys gouldii gouldii,"Black-footed Tree-rat (Kimberley and mainland Northern Territory), Djintamoonga, Manbul",,,,
Myrmecobius fasciatus,Numbat,,,,
Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",,,,
Notomys aquilo,"Northern Hopping-mouse, Woorrentinta",,,,
Onychogalea fraenata,"Bridled Nail-tail Wallaby, Bridled Nailtail Wallaby",,,,
