SPECIES_LUTO,TAXON,scientificName_x,canonicalName,Scientific Name,Endangered Status,scientificName_y,Endanger Status IUCN
Uperoleia_littlejohni,Amphibians,Uperoleia_littlejohni,Uperoleia littlejohni,,,,LC
Litoria_booroolongensis,Amphibians,Litoria_booroolongensis,Litoria booroolongensis,Litoria booroolongensis,Endangered,Litoria booroolongensis,EN
Litoria_rheocola,Amphibians,Litoria_rheocola,Litoria rheocola,,,,NT
Rhinella_marina,Amphibians,Rhinella_marina,Rhinella marina,,,,LC
Mixophyes_balbus,Amphibians,Mixophyes_balbus,Mixophyes balbus,Mixophyes balbus,Vulnerable,Mixophyes balbus,VU
Mixophyes_iteratus,Amphibians,Mixophyes_iteratus,Mixophyes iteratus,Mixophyes iteratus,Vulnerable,Mixophyes iteratus,VU
Pseudophryne_covacevichae,Amphibians,Pseudophryne_covacevichae,Pseudophryne covacevichae,Pseudophryne covacevichae,Vulnerable,Pseudophryne covacevichae,EN
Spicospina_flammocaerulea,Amphibians,Spicospina_flammocaerulea,Spicospina flammocaerulea,Spicospina flammocaerulea,Vulnerable,Spicospina flammocaerulea,EN
Litoria_dayi,Amphibians,Litoria_dayi,Litoria dayi,Litoria dayi,Vulnerable,Litoria dayi,VU
Litoria_olongburensis,Amphibians,Litoria_olongburensis,Litoria olongburensis,Litoria olongburensis,Vulnerable,Litoria olongburensis,VU
Litoria_piperata,Amphibians,Litoria_piperata,Litoria piperata,Litoria piperata,Vulnerable,Litoria piperata,DD
Litoria_raniformis,Amphibians,Litoria_raniformis,Litoria raniformis,Litoria raniformis,Vulnerable,Litoria raniformis,VU
Geocrinia_rosea,Amphibians,Geocrinia_rosea,Geocrinia rosea,,,,LC
Cophixalus_bombiens,Amphibians,Cophixalus_bombiens,Cophixalus bombiens,,,,LC
Cophixalus_crepitans,Amphibians,Cophixalus_crepitans,Cophixalus crepitans,,,,LC
Cophixalus_hosmeri,Amphibians,Cophixalus_hosmeri,Cophixalus hosmeri,Cophixalus hosmeri,Critically,Cophixalus hosmeri,EN
Cophixalus_infacetus,Amphibians,Cophixalus_infacetus,Cophixalus infacetus,,,,LC
Cophixalus_ornatus,Amphibians,Cophixalus_ornatus,Cophixalus ornatus,,,,LC
Cophixalus_saxatilis,Amphibians,Cophixalus_saxatilis,Cophixalus saxatilis,,,,LC
Crinia_georgiana,Amphibians,Crinia_georgiana,Crinia georgiana,,,,LC
Crinia_glauerti,Amphibians,Crinia_glauerti,Crinia glauerti,,,,LC
Crinia_insignifera,Amphibians,Crinia_insignifera,Crinia insignifera,,,,LC
Crinia_nimbus,Amphibians,Crinia_nimbus,Crinia nimbus,,,,LC
Crinia_parinsignifera,Amphibians,Crinia_parinsignifera,Crinia parinsignifera,,,,LC
Crinia_pseudinsignifera,Amphibians,Crinia_pseudinsignifera,Crinia pseudinsignifera,,,,LC
Crinia_remota,Amphibians,Crinia_remota,Crinia remota,,,,LC
Crinia_riparia,Amphibians,Crinia_riparia,Crinia riparia,,,,LC
Crinia_signifera,Amphibians,Crinia_signifera,Crinia signifera,,,,LC
Crinia_subinsignifera,Amphibians,Crinia_subinsignifera,Crinia subinsignifera,,,,LC
Crinia_tasmaniensis,Amphibians,Crinia_tasmaniensis,Crinia tasmaniensis,,,,NT
Crinia_tinnula,Amphibians,Crinia_tinnula,Crinia tinnula,,,,LC
Geocrinia_laevis,Amphibians,Geocrinia_laevis,Geocrinia laevis,,,,LC
Geocrinia_leai,Amphibians,Geocrinia_leai,Geocrinia leai,,,,LC
Geocrinia_victoriana,Amphibians,Geocrinia_victoriana,Geocrinia victoriana,,,,LC
Metacrinia_nichollsi,Amphibians,Metacrinia_nichollsi,Metacrinia nichollsi,,,,LC
Mixophyes_carbinensis,Amphibians,Mixophyes_carbinensis,Mixophyes carbinensis,,,,LC
Mixophyes_coggeri,Amphibians,Mixophyes_coggeri,Mixophyes coggeri,,,,LC
Mixophyes_fasciolatus,Amphibians,Mixophyes_fasciolatus,Mixophyes fasciolatus,,,,LC
Mixophyes_schevilli,Amphibians,Mixophyes_schevilli,Mixophyes schevilli,,,,LC
Rana_daemeli,Amphibians,Rana_daemeli,Rana daemeli,,,,
Paracrinia_haswelli,Amphibians,Paracrinia_haswelli,Paracrinia haswelli,,,,LC
Philoria_loveridgei,Amphibians,Philoria_loveridgei,Philoria loveridgei,,,,EN
Philoria_pughi,Amphibians,Philoria_pughi,Philoria pughi,,,,EN
Philoria_sphagnicolus,Amphibians,Philoria_sphagnicolus,Philoria sphagnicolus,,,,
Pseudophryne_australis,Amphibians,Pseudophryne_australis,Pseudophryne australis,,,,NT
Pseudophryne_coriacea,Amphibians,Pseudophryne_coriacea,Pseudophryne coriacea,,,,LC
Pseudophryne_dendyi,Amphibians,Pseudophryne_dendyi,Pseudophryne dendyi,,,,LC
Pseudophryne_douglasi,Amphibians,Pseudophryne_douglasi,Pseudophryne douglasi,,,,LC
Pseudophryne_guentheri,Amphibians,Pseudophryne_guentheri,Pseudophryne guentheri,,,,LC
Pseudophryne_occidentalis,Amphibians,Pseudophryne_occidentalis,Pseudophryne occidentalis,,,,LC
Pseudophryne_semimarmorata,Amphibians,Pseudophryne_semimarmorata,Pseudophryne semimarmorata,,,,LC
Taudactylus_acutirostris,Amphibians,Taudactylus_acutirostris,Taudactylus acutirostris,Taudactylus acutirostris,Extinct,Taudactylus acutirostris,EX
Taudactylus_liemi,Amphibians,Taudactylus_liemi,Taudactylus liemi,,,,LC
Uperoleia_arenicola,Amphibians,Uperoleia_arenicola,Uperoleia arenicola,,,,LC
Uperoleia_aspera,Amphibians,Uperoleia_aspera,Uperoleia aspera,,,,LC
Uperoleia_capitulata,Amphibians,Uperoleia_capitulata,Uperoleia capitulata,,,,LC
Uperoleia_crassa,Amphibians,Uperoleia_crassa,Uperoleia crassa,,,,LC
Uperoleia_glandulosa,Amphibians,Uperoleia_glandulosa,Uperoleia glandulosa,,,,LC
Uperoleia_laevigata,Amphibians,Uperoleia_laevigata,Uperoleia laevigata,,,,LC
Uperoleia_martini,Amphibians,Uperoleia_martini,Uperoleia martini,Uperoleia martini,Endangered,Uperoleia martini,VU
Uperoleia_micromeles,Amphibians,Uperoleia_micromeles,Uperoleia micromeles,,,,LC
Uperoleia_minima,Amphibians,Uperoleia_minima,Uperoleia minima,,,,LC
Uperoleia_rugosa,Amphibians,Uperoleia_rugosa,Uperoleia rugosa,,,,LC
Uperoleia_russelli,Amphibians,Uperoleia_russelli,Uperoleia russelli,,,,LC
Uperoleia_saxatilis,Amphibians,Uperoleia_saxatilis,Uperoleia saxatilis,,,,LC
Uperoleia_talpa,Amphibians,Uperoleia_talpa,Uperoleia talpa,,,,LC
Uperoleia_tyleri,Amphibians,Uperoleia_tyleri,Uperoleia tyleri,,,,NT
Crinia_bilingua,Amphibians,Crinia_bilingua,Crinia bilingua,,,,LC
Crinia_deserticola,Amphibians,Crinia_deserticola,Crinia deserticola,,,,LC
Litoria_aurifera,Amphibians,Litoria_aurifera,Litoria aurifera,,,,LC
Litoria_cavernicola,Amphibians,Litoria_cavernicola,Litoria cavernicola,,,,LC
Litoria_coplandi,Amphibians,Litoria_coplandi,Litoria coplandi,,,,LC
Litoria_gilleni,Amphibians,Litoria_gilleni,Litoria gilleni,,,,LC
Litoria_meiriana,Amphibians,Litoria_meiriana,Litoria meiriana,,,,LC
Litoria_wilcoxii,Amphibians,Litoria_wilcoxii,Litoria wilcoxii,,,,LC
Arenophryne_rotunda,Amphibians,Arenophryne_rotunda,Arenophryne rotunda,,,,LC
Arenophryne_xiphorhyncha,Amphibians,Arenophryne_xiphorhyncha,Arenophryne xiphorhyncha,,,,LC
Austrochaperina_fryi,Amphibians,Austrochaperina_fryi,Austrochaperina fryi,,,,LC
Austrochaperina_gracilipes,Amphibians,Austrochaperina_gracilipes,Austrochaperina gracilipes,,,,LC
Austrochaperina_pluvialis,Amphibians,Austrochaperina_pluvialis,Austrochaperina pluvialis,,,,LC
Austrochaperina_robusta,Amphibians,Austrochaperina_robusta,Austrochaperina robusta,,,,LC
Cyclorana_alboguttata,Amphibians,Cyclorana_alboguttata,Cyclorana alboguttata,,,,LC
Cyclorana_australis,Amphibians,Cyclorana_australis,Cyclorana australis,,,,LC
Cyclorana_brevipes,Amphibians,Cyclorana_brevipes,Cyclorana brevipes,,,,LC
Cyclorana_cryptotis,Amphibians,Cyclorana_cryptotis,Cyclorana cryptotis,,,,LC
Cyclorana_cultripes,Amphibians,Cyclorana_cultripes,Cyclorana cultripes,,,,LC
Cyclorana_longipes,Amphibians,Cyclorana_longipes,Cyclorana longipes,,,,LC
Cyclorana_maculosa,Amphibians,Cyclorana_maculosa,Cyclorana maculosa,,,,LC
Cyclorana_manya,Amphibians,Cyclorana_manya,Cyclorana manya,,,,LC
Cyclorana_novaehollandiae,Amphibians,Cyclorana_novaehollandiae,Cyclorana novaehollandiae,,,,LC
Cyclorana_vagita,Amphibians,Cyclorana_vagita,Cyclorana vagita,,,,
Cyclorana_verrucosa,Amphibians,Cyclorana_verrucosa,Cyclorana verrucosa,,,,LC
Heleioporus_albopunctatus,Amphibians,Heleioporus_albopunctatus,Heleioporus albopunctatus,,,,LC
Heleioporus_barycragus,Amphibians,Heleioporus_barycragus,Heleioporus barycragus,,,,LC
Heleioporus_eyrei,Amphibians,Heleioporus_eyrei,Heleioporus eyrei,,,,LC
Heleioporus_inornatus,Amphibians,Heleioporus_inornatus,Heleioporus inornatus,,,,LC
Heleioporus_psammophilus,Amphibians,Heleioporus_psammophilus,Heleioporus psammophilus,,,,LC
Limnodynastes_depressus,Amphibians,Limnodynastes_depressus,Limnodynastes depressus,,,,LC
Limnodynastes_dorsalis,Amphibians,Limnodynastes_dorsalis,Limnodynastes dorsalis,,,,LC
Limnodynastes_fletcheri,Amphibians,Limnodynastes_fletcheri,Limnodynastes fletcheri,,,,LC
Limnodynastes_interioris,Amphibians,Limnodynastes_interioris,Limnodynastes interioris,,,,LC
Limnodynastes_lignarius,Amphibians,Limnodynastes_lignarius,Limnodynastes lignarius,,,,LC
Limnodynastes_peronii,Amphibians,Limnodynastes_peronii,Limnodynastes peronii,,,,LC
Limnodynastes_tasmaniensis,Amphibians,Limnodynastes_tasmaniensis,Limnodynastes tasmaniensis,,,,LC
Limnodynastes_terraereginae,Amphibians,Limnodynastes_terraereginae,Limnodynastes terraereginae,,,,LC
Notaden_melanoscaphus,Amphibians,Notaden_melanoscaphus,Notaden melanoscaphus,,,,LC
Uperoleia_altissima,Amphibians,Uperoleia_altissima,Uperoleia altissima,,,,LC
Uperoleia_borealis,Amphibians,Uperoleia_borealis,Uperoleia borealis,,,,LC
Uperoleia_inundata,Amphibians,Uperoleia_inundata,Uperoleia inundata,,,,LC
Uperoleia_mimula,Amphibians,Uperoleia_mimula,Uperoleia mimula,,,,LC
Uperoleia_mjobergii,Amphibians,Uperoleia_mjobergii,Uperoleia mjobergii,,,,LC
Uperoleia_trachyderma,Amphibians,Uperoleia_trachyderma,Uperoleia trachyderma,,,,LC
Myobatrachus_gouldii,Amphibians,Myobatrachus_gouldii,Myobatrachus gouldii,,,,LC
Neobatrachus_albipes,Amphibians,Neobatrachus_albipes,Neobatrachus albipes,,,,LC
Neobatrachus_pelobatoides,Amphibians,Neobatrachus_pelobatoides,Neobatrachus pelobatoides,,,,LC
Neobatrachus_pictus,Amphibians,Neobatrachus_pictus,Neobatrachus pictus,,,,LC
Neobatrachus_sutor,Amphibians,Neobatrachus_sutor,Neobatrachus sutor,,,,LC
Neobatrachus_wilsmorei,Amphibians,Neobatrachus_wilsmorei,Neobatrachus wilsmorei,,,,LC
Notaden_bennettii,Amphibians,Notaden_bennettii,Notaden bennettii,,,,LC
Notaden_weigeli,Amphibians,Notaden_weigeli,Notaden weigeli,,,,LC
Opisthodon_ornatus,Amphibians,Opisthodon_ornatus,Opisthodon ornatus,,,,
Opisthodon_spenceri,Amphibians,Opisthodon_spenceri,Opisthodon spenceri,,,,
Limnodynastes_convexiusculus,Amphibians,Limnodynastes_convexiusculus,Limnodynastes convexiusculus,,,,LC
Notaden_nichollsi,Amphibians,Notaden_nichollsi,Notaden nichollsi,,,,LC
Uperoleia_lithomoda,Amphibians,Uperoleia_lithomoda,Uperoleia lithomoda,,,,LC
Litoria_adelaidensis,Amphibians,Litoria_adelaidensis,Litoria adelaidensis,,,,LC
Litoria_burrowsae,Amphibians,Litoria_burrowsae,Litoria burrowsae,,,,
Litoria_caerulea,Amphibians,Litoria_caerulea,Litoria caerulea,,,,LC
Litoria_chloris,Amphibians,Litoria_chloris,Litoria chloris,,,,LC
Litoria_citropa,Amphibians,Litoria_citropa,Litoria citropa,,,,LC
Litoria_eucnemis,Amphibians,Litoria_eucnemis,Litoria eucnemis,,,,LC
Litoria_gracilenta,Amphibians,Litoria_gracilenta,Litoria gracilenta,,,,LC
Litoria_infrafrenata,Amphibians,Litoria_infrafrenata,Litoria infrafrenata,,,,LC
Litoria_jungguy,Amphibians,Litoria_jungguy,Litoria jungguy,,,,LC
Litoria_longirostris,Amphibians,Litoria_longirostris,Litoria longirostris,,,,LC
Litoria_rothii,Amphibians,Litoria_rothii,Litoria rothii,,,,LC
Litoria_rubella,Amphibians,Litoria_rubella,Litoria rubella,,,,LC
Litoria_splendida,Amphibians,Litoria_splendida,Litoria splendida,,,,LC
Litoria_barringtonensis,Amphibians,Litoria_barringtonensis,Litoria barringtonensis,,,,LC
Litoria_bicolor,Amphibians,Litoria_bicolor,Litoria bicolor,,,,LC
Litoria_brevipalmata,Amphibians,Litoria_brevipalmata,Litoria brevipalmata,,,,LC
Litoria_cooloolensis,Amphibians,Litoria_cooloolensis,Litoria cooloolensis,,,,NT
Litoria_cyclorhyncha,Amphibians,Litoria_cyclorhyncha,Litoria cyclorhyncha,,,,LC
Litoria_dentata,Amphibians,Litoria_dentata,Litoria dentata,,,,LC
Litoria_electrica,Amphibians,Litoria_electrica,Litoria electrica,,,,LC
Litoria_fallax,Amphibians,Litoria_fallax,Litoria fallax,,,,LC
Litoria_freycineti,Amphibians,Litoria_freycineti,Litoria freycineti,,,,LC
Litoria_inermis,Amphibians,Litoria_inermis,Litoria inermis,,,,LC
Litoria_jervisiensis,Amphibians,Litoria_jervisiensis,Litoria jervisiensis,,,,LC
Litoria_littlejohni,Amphibians,Litoria_littlejohni,Litoria littlejohni,Litoria littlejohni,Endangered,Litoria littlejohni,LC
Litoria_microbelos,Amphibians,Litoria_microbelos,Litoria microbelos,,,,LC
Litoria_moorei,Amphibians,Litoria_moorei,Litoria moorei,,,,LC
Litoria_nannotis,Amphibians,Litoria_nannotis,Litoria nannotis,,,,LC
Litoria_nasuta,Amphibians,Litoria_nasuta,Litoria nasuta,,,,LC
Litoria_pallida,Amphibians,Litoria_pallida,Litoria pallida,,,,LC
Litoria_personata,Amphibians,Litoria_personata,Litoria personata,,,,LC
Litoria_tornieri,Amphibians,Litoria_tornieri,Litoria tornieri,,,,LC
Litoria_nigrofrenata,Amphibians,Litoria_nigrofrenata,Litoria nigrofrenata,,,,LC
Litoria_nudidigita,Amphibians,Litoria_nudidigita,Litoria nudidigita,,,,LC
Litoria_pearsoniana,Amphibians,Litoria_pearsoniana,Litoria pearsoniana,,,,NT
Litoria_peronii,Amphibians,Litoria_peronii,Litoria peronii,,,,LC
Litoria_phyllochroa,Amphibians,Litoria_phyllochroa,Litoria phyllochroa,,,,LC
Litoria_revelata,Amphibians,Litoria_revelata,Litoria revelata,,,,LC
Litoria_genimaculata,Amphibians,Litoria_genimaculata,Litoria genimaculata,,,,LC
Acanthagenys_rufogularis,Birds,Acanthagenys_rufogularis,Acanthagenys rufogularis,,,,LC
Acanthiza_ewingii,Birds,Acanthiza_ewingii,Acanthiza ewingii,,,,LC
Acanthiza_inornata,Birds,Acanthiza_inornata,Acanthiza inornata,,,,LC
Acanthiza_iredalei,Birds,Acanthiza_iredalei,Acanthiza iredalei,,,,LC
Acanthiza_katherina,Birds,Acanthiza_katherina,Acanthiza katherina,,,,VU
Acanthiza_lineata,Birds,Acanthiza_lineata,Acanthiza lineata,,,,LC
Acanthiza_nana,Birds,Acanthiza_nana,Acanthiza nana,,,,LC
Acanthiza_pusilla,Birds,Acanthiza_pusilla,Acanthiza pusilla,,,,LC
Acanthiza_reguloides,Birds,Acanthiza_reguloides,Acanthiza reguloides,,,,LC
Acanthiza_uropygialis,Birds,Acanthiza_uropygialis,Acanthiza uropygialis,,,,LC
Acanthorhynchus_tenuirostris,Birds,Acanthorhynchus_tenuirostris,Acanthorhynchus tenuirostris,,,,LC
Acanthornis_magna,Birds,Acanthornis_magna,Acanthornis magna,,,,LC
Accipiter_fasciatus,Birds,Accipiter_fasciatus,Accipiter fasciatus,,,,LC
Accipiter_novaehollandiae,Birds,Accipiter_novaehollandiae,Accipiter novaehollandiae,,,,LC
Acrocephalus_australis,Birds,Acrocephalus_australis,Acrocephalus australis,,,,LC
Acrocephalus_stentoreus,Birds,Acrocephalus_stentoreus,Acrocephalus stentoreus,,,,LC
Aegotheles_cristatus,Birds,Aegotheles_cristatus,Aegotheles cristatus,,,,LC
Aerodramus_terraereginae,Birds,Aerodramus_terraereginae,Aerodramus terraereginae,,,,LC
Ailuroedus_crassirostris,Birds,Ailuroedus_crassirostris,Ailuroedus crassirostris,,,,LC
Ailuroedus_melanotis,Birds,Ailuroedus_melanotis,Ailuroedus melanotis,,,,LC
Alectura_lathami,Birds,Alectura_lathami,Alectura lathami,,,,LC
Porzana_cinerea,Birds,Porzana_cinerea,Porzana cinerea,,,,
Amaurornis_moluccana,Birds,Amaurornis_moluccana,Amaurornis moluccana,,,,LC
Amytornis_ballarae,Birds,Amytornis_ballarae,Amytornis ballarae,,,,VU
Amytornis_barbatus,Birds,Amytornis_barbatus,Amytornis barbatus,,,,LC
Amytornis_dorotheae,Birds,Amytornis_dorotheae,Amytornis dorotheae,Amytornis dorotheae,Endangered,Amytornis dorotheae,VU
Amytornis_goyderi,Birds,Amytornis_goyderi,Amytornis goyderi,,,,LC
Amytornis_housei,Birds,Amytornis_housei,Amytornis housei,,,,LC
Amytornis_merrotsyi,Birds,Amytornis_merrotsyi,Amytornis merrotsyi,,,,NT
Amytornis_modestus,Birds,Amytornis_modestus,Amytornis modestus,Amytornis modestus,Vulnerable,Amytornis modestus,LC
Amytornis_purnelli,Birds,Amytornis_purnelli,Amytornis purnelli,,,,LC
Amytornis_textilis,Birds,Amytornis_textilis,Amytornis textilis,,,,LC
Amytornis_woodwardi,Birds,Amytornis_woodwardi,Amytornis woodwardi,Amytornis woodwardi,Vulnerable,Amytornis woodwardi,EN
Anas_castanea,Birds,Anas_castanea,Anas castanea,,,,LC
Anas_gibberifrons,Birds,Anas_gibberifrons,Anas gibberifrons,,,,NT
Anas_gracilis,Birds,Anas_gracilis,Anas gracilis,,,,LC
Anas_superciliosa,Birds,Anas_superciliosa,Anas superciliosa,,,,LC
Anhinga_novaehollandiae,Birds,Anhinga_novaehollandiae,Anhinga novaehollandiae,,,,LC
Anser_anser,Birds,Anser_anser,Anser anser,,,,LC
Anthochaera_carunculata,Birds,Anthochaera_carunculata,Anthochaera carunculata,,,,LC
Anthochaera_chrysoptera,Birds,Anthochaera_chrysoptera,Anthochaera chrysoptera,,,,LC
Anthochaera_lunulata,Birds,Anthochaera_lunulata,Anthochaera lunulata,,,,LC
Anthochaera_paradoxa,Birds,Anthochaera_paradoxa,Anthochaera paradoxa,,,,LC
Anthochaera_phrygia,Birds,Anthochaera_phrygia,Anthochaera phrygia,Anthochaera phrygia,Critically,Anthochaera phrygia,CR
Anthus_novaeseelandiae,Birds,Anthus_novaeseelandiae,Anthus novaeseelandiae,,,,LC
Grus_antigone,Birds,Grus_antigone,Grus antigone,,,,VU
Grus_rubicunda,Birds,Grus_rubicunda,Grus rubicunda,,,,LC
Aphelocephala_leucopsis,Birds,Aphelocephala_leucopsis,Aphelocephala leucopsis,Aphelocephala leucopsis,Vulnerable,Aphelocephala leucopsis,VU
Aphelocephala_nigricincta,Birds,Aphelocephala_nigricincta,Aphelocephala nigricincta,,,,LC
Aphelocephala_pectoralis,Birds,Aphelocephala_pectoralis,Aphelocephala pectoralis,,,,NT
Apus_pacificus,Birds,Apus_pacificus,Apus pacificus,,,,LC
Aquila_audax,Birds,Aquila_audax,Aquila audax,,,,LC
Ardea_intermedia,Birds,Ardea_intermedia,Ardea intermedia,,,,LC
Ardea_alba,Birds,Ardea_alba,Ardea alba,,,,LC
Ardea_modesta,Birds,Ardea_modesta,Ardea modesta,,,,
Ardea_pacifica,Birds,Ardea_pacifica,Ardea pacifica,,,,LC
Ardea_sumatrana,Birds,Ardea_sumatrana,Ardea sumatrana,,,,LC
Ardeotis_australis,Birds,Ardeotis_australis,Ardeotis australis,,,,LC
Arses_lorealis,Birds,Arses_lorealis,Arses lorealis,,,,LC
Artamus_cinereus,Birds,Artamus_cinereus,Artamus cinereus,,,,LC
Artamus_cyanopterus,Birds,Artamus_cyanopterus,Artamus cyanopterus,,,,LC
Artamus_leucorynchus,Birds,Artamus_leucorynchus,Artamus leucorynchus,,,,
Artamus_personatus,Birds,Artamus_personatus,Artamus personatus,,,,LC
Artamus_superciliosus,Birds,Artamus_superciliosus,Artamus superciliosus,,,,LC
Ashbyia_lovensis,Birds,Ashbyia_lovensis,Ashbyia lovensis,,,,LC
Atrichornis_rufescens,Birds,Atrichornis_rufescens,Atrichornis rufescens,Atrichornis rufescens,Endangered,Atrichornis rufescens,EN
Aythya_australis,Birds,Aythya_australis,Aythya australis,,,,LC
Barnardius_zonarius,Birds,Barnardius_zonarius,Barnardius zonarius,,,,LC
Biziura_lobata,Birds,Biziura_lobata,Biziura lobata,,,,LC
Lichenostomus_frenatus,Birds,Lichenostomus_frenatus,Lichenostomus frenatus,,,,
Lichenostomus_hindwoodi,Birds,Lichenostomus_hindwoodi,Lichenostomus hindwoodi,,,,
Botaurus_poiciloptilus,Birds,Botaurus_poiciloptilus,Botaurus poiciloptilus,Botaurus poiciloptilus,Endangered,Botaurus poiciloptilus,VU
Butorides_striatus,Birds,Butorides_striatus,Butorides striatus,,,,
Cacatua_galerita,Birds,Cacatua_galerita,Cacatua galerita,,,,LC
Lophochroa_leadbeateri,Birds,Lophochroa_leadbeateri,Lophochroa leadbeateri,,,,
Cacatua_pastinator,Birds,Cacatua_pastinator,Cacatua pastinator,,,,LC
Cacatua_tenuirostris,Birds,Cacatua_tenuirostris,Cacatua tenuirostris,,,,LC
Cacomantis_castaneiventris,Birds,Cacomantis_castaneiventris,Cacomantis castaneiventris,,,,LC
Cacomantis_flabelliformis,Birds,Cacomantis_flabelliformis,Cacomantis flabelliformis,,,,LC
Cacomantis_pallidus,Birds,Cacomantis_pallidus,Cacomantis pallidus,,,,
Cacomantis_variolosus,Birds,Cacomantis_variolosus,Cacomantis variolosus,,,,LC
Calamanthus_campestris,Birds,Calamanthus_campestris,Calamanthus campestris,,,,LC
Hylacola_cautus,Birds,Hylacola_cautus,Hylacola cautus,,,,
Calamanthus_fuliginosus,Birds,Calamanthus_fuliginosus,Calamanthus fuliginosus,,,,LC
Hylacola_pyrrhopygia,Birds,Hylacola_pyrrhopygia,Hylacola pyrrhopygia,,,,LC
Lichenostomus_chrysops,Birds,Lichenostomus_chrysops,Lichenostomus chrysops,,,,
Callocephalon_fimbriatum,Birds,Callocephalon_fimbriatum,Callocephalon fimbriatum,Callocephalon fimbriatum,Endangered,Callocephalon fimbriatum,VU
Calyptorhynchus_banksii,Birds,Calyptorhynchus_banksii,Calyptorhynchus banksii,,,,LC
Calyptorhynchus_lathami,Birds,Calyptorhynchus_lathami,Calyptorhynchus lathami,,,,VU
Caprimulgus_macrurus,Birds,Caprimulgus_macrurus,Caprimulgus macrurus,,,,LC
Carduelis_carduelis,Birds,Carduelis_carduelis,Carduelis carduelis,,,,LC
Carterornis_leucotis,Birds,Carterornis_leucotis,Carterornis leucotis,,,,LC
Casuarius_casuarius,Birds,Casuarius_casuarius,Casuarius casuarius,,,,LC
Centropus_phasianinus,Birds,Centropus_phasianinus,Centropus phasianinus,,,,LC
Cereopsis_novaehollandiae,Birds,Cereopsis_novaehollandiae,Cereopsis novaehollandiae,,,,LC
Certhionyx_variegatus,Birds,Certhionyx_variegatus,Certhionyx variegatus,,,,LC
Ceyx_azureus,Birds,Ceyx_azureus,Ceyx azureus,,,,LC
Ceyx_pusilla,Birds,Ceyx_pusilla,Ceyx pusilla,,,,
Chalcites_basalis,Birds,Chalcites_basalis,Chalcites basalis,,,,LC
Chrysococcyx_osculans,Birds,Chrysococcyx_osculans,Chrysococcyx osculans,,,,
Chalcophaps_indica,Birds,Chalcophaps_indica,Chalcophaps indica,,,,LC
Chenonetta_jubata,Birds,Chenonetta_jubata,Chenonetta jubata,,,,LC
Cheramoeca_leucosterna,Birds,Cheramoeca_leucosterna,Cheramoeca leucosterna,,,,LC
Ptilonorhynchus_cerviniventris,Birds,Ptilonorhynchus_cerviniventris,Ptilonorhynchus cerviniventris,,,,
Ptilonorhynchus_guttatus,Birds,Ptilonorhynchus_guttatus,Ptilonorhynchus guttatus,,,,
