SPECIES_LUTO,TAXON,scientificName_x,canonicalName,Scientific Name,Endangered Status,scientificName_y
Pseudophryne_guentheri,Amphibians,Pseudophryne_guentheri,Pseudophryne guentheri,,,
Pseudophryne_occidentalis,Amphibians,Pseudophryne_occidentalis,Pseudophryne occidentalis,,,
Pseudophryne_semimarmorata,Amphibians,Pseudophryne_semimarmorata,Pseudophryne semimarmorata,,,
Taudactylus_acutirostris,Amphibians,Taudactylus_acutirostris,Taudactylus acutirostris,Taudactylus acutirostris,Extinct,Taudactylus acutirostris
Taudactylus_liemi,Amphibians,Taudactylus_liemi,Taudactylus liemi,,,
Uperoleia_arenicola,Amphibians,Uperoleia_arenicola,Uperoleia arenicola,,,
Uperoleia_aspera,Amphibians,Uperoleia_aspera,Uperoleia aspera,,,
Uperoleia_capitulata,Amphibians,Uperoleia_capitulata,Uperoleia capitulata,,,
Uperoleia_crassa,Amphibians,Uperoleia_crassa,Uperoleia crassa,,,
Uperoleia_glandulosa,Amphibians,Uperoleia_glandulosa,Uperoleia glandulosa,,,
Uperoleia_laevigata,Amphibians,Uperoleia_laevigata,Uperoleia laevigata,,,
Uperoleia_martini,Amphibians,Uperoleia_martini,Uperoleia martini,Uperoleia martini,Endangered,Uperoleia martini
Uperoleia_micromeles,Amphibians,Uperoleia_micromeles,Uperoleia micromeles,,,
Uperoleia_minima,Amphibians,Uperoleia_minima,Uperoleia minima,,,
Uperoleia_rugosa,Amphibians,Uperoleia_rugosa,Uperoleia rugosa,,,
Uperoleia_russelli,Amphibians,Uperoleia_russelli,Uperoleia russelli,,,
Uperoleia_saxatilis,Amphibians,Uperoleia_saxatilis,Uperoleia saxatilis,,,
Uperoleia_talpa,Amphibians,Uperoleia_talpa,Uperoleia talpa,,,
Uperoleia_tyleri,Amphibians,Uperoleia_tyleri,Uperoleia tyleri,,,
Crinia_bilingua,Amphibians,Crinia_bilingua,Crinia bilingua,,,
Crinia_deserticola,Amphibians,Crinia_deserticola,Crinia deserticola,,,
Litoria_aurifera,Amphibians,Litoria_aurifera,Litoria aurifera,,,
Litoria_cavernicola,Amphibians,Litoria_cavernicola,Litoria cavernicola,,,
Litoria_coplandi,Amphibians,Litoria_coplandi,Litoria coplandi,,,
Litoria_gilleni,Amphibians,Litoria_gilleni,Litoria gilleni,,,
Litoria_meiriana,Amphibians,Litoria_meiriana,Litoria meiriana,,,
Litoria_wilcoxii,Amphibians,Litoria_wilcoxii,Litoria wilcoxii,,,
Arenophryne_rotunda,Amphibians,Arenophryne_rotunda,Arenophryne rotunda,,,
Arenophryne_xiphorhyncha,Amphibians,Arenophryne_xiphorhyncha,Arenophryne xiphorhyncha,,,
Austrochaperina_fryi,Amphibians,Austrochaperina_fryi,Austrochaperina fryi,,,
Austrochaperina_gracilipes,Amphibians,Austrochaperina_gracilipes,Austrochaperina gracilipes,,,
Austrochaperina_pluvialis,Amphibians,Austrochaperina_pluvialis,Austrochaperina pluvialis,,,
Austrochaperina_robusta,Amphibians,Austrochaperina_robusta,Austrochaperina robusta,,,
Cyclorana_alboguttata,Amphibians,Cyclorana_alboguttata,Cyclorana alboguttata,,,
Cyclorana_australis,Amphibians,Cyclorana_australis,Cyclorana australis,,,
Cyclorana_brevipes,Amphibians,Cyclorana_brevipes,Cyclorana brevipes,,,
Cyclorana_cryptotis,Amphibians,Cyclorana_cryptotis,Cyclorana cryptotis,,,
Cyclorana_cultripes,Amphibians,Cyclorana_cultripes,Cyclorana cultripes,,,
Cyclorana_longipes,Amphibians,Cyclorana_longipes,Cyclorana longipes,,,
Cyclorana_maculosa,Amphibians,Cyclorana_maculosa,Cyclorana maculosa,,,
Cyclorana_manya,Amphibians,Cyclorana_manya,Cyclorana manya,,,
Cyclorana_novaehollandiae,Amphibians,Cyclorana_novaehollandiae,Cyclorana novaehollandiae,,,
Cyclorana_vagita,Amphibians,Cyclorana_vagita,Cyclorana vagita,,,
Cyclorana_verrucosa,Amphibians,Cyclorana_verrucosa,Cyclorana verrucosa,,,
Heleioporus_albopunctatus,Amphibians,Heleioporus_albopunctatus,Heleioporus albopunctatus,,,
Heleioporus_barycragus,Amphibians,Heleioporus_barycragus,Heleioporus barycragus,,,
Heleioporus_eyrei,Amphibians,Heleioporus_eyrei,Heleioporus eyrei,,,
Heleioporus_inornatus,Amphibians,Heleioporus_inornatus,Heleioporus inornatus,,,
Heleioporus_psammophilus,Amphibians,Heleioporus_psammophilus,Heleioporus psammophilus,,,
Limnodynastes_depressus,Amphibians,Limnodynastes_depressus,Limnodynastes depressus,,,
Limnodynastes_dorsalis,Amphibians,Limnodynastes_dorsalis,Limnodynastes dorsalis,,,
Limnodynastes_fletcheri,Amphibians,Limnodynastes_fletcheri,Limnodynastes fletcheri,,,
Limnodynastes_interioris,Amphibians,Limnodynastes_interioris,Limnodynastes interioris,,,
Limnodynastes_lignarius,Amphibians,Limnodynastes_lignarius,Limnodynastes lignarius,,,
Limnodynastes_peronii,Amphibians,Limnodynastes_peronii,Limnodynastes peronii,,,
Limnodynastes_tasmaniensis,Amphibians,Limnodynastes_tasmaniensis,Limnodynastes tasmaniensis,,,
Limnodynastes_terraereginae,Amphibians,Limnodynastes_terraereginae,Limnodynastes terraereginae,,,
Notaden_melanoscaphus,Amphibians,Notaden_melanoscaphus,Notaden melanoscaphus,,,
Uperoleia_altissima,Amphibians,Uperoleia_altissima,Uperoleia altissima,,,
Uperoleia_borealis,Amphibians,Uperoleia_borealis,Uperoleia borealis,,,
Uperoleia_inundata,Amphibians,Uperoleia_inundata,Uperoleia inundata,,,
Uperoleia_mimula,Amphibians,Uperoleia_mimula,Uperoleia mimula,,,
Uperoleia_mjobergii,Amphibians,Uperoleia_mjobergii,Uperoleia mjobergii,,,
Uperoleia_trachyderma,Amphibians,Uperoleia_trachyderma,Uperoleia trachyderma,,,
Myobatrachus_gouldii,Amphibians,Myobatrachus_gouldii,Myobatrachus gouldii,,,
Neobatrachus_albipes,Amphibians,Neobatrachus_albipes,Neobatrachus albipes,,,
Neobatrachus_pelobatoides,Amphibians,Neobatrachus_pelobatoides,Neobatrachus pelobatoides,,,
Neobatrachus_pictus,Amphibians,Neobatrachus_pictus,Neobatrachus pictus,,,
Neobatrachus_sutor,Amphibians,Neobatrachus_sutor,Neobatrachus sutor,,,
Neobatrachus_wilsmorei,Amphibians,Neobatrachus_wilsmorei,Neobatrachus wilsmorei,,,
Notaden_bennettii,Amphibians,Notaden_bennettii,Notaden bennettii,,,
Notaden_weigeli,Amphibians,Notaden_weigeli,Notaden weigeli,,,
Opisthodon_ornatus,Amphibians,Opisthodon_ornatus,Opisthodon ornatus,,,
Opisthodon_spenceri,Amphibians,Opisthodon_spenceri,Opisthodon spenceri,,,
Limnodynastes_convexiusculus,Amphibians,Limnodynastes_convexiusculus,Limnodynastes convexiusculus,,,
Notaden_nichollsi,Amphibians,Notaden_nichollsi,Notaden nichollsi,,,
Uperoleia_lithomoda,Amphibians,Uperoleia_lithomoda,Uperoleia lithomoda,,,
Litoria_adelaidensis,Amphibians,Litoria_adelaidensis,Litoria adelaidensis,,,
Litoria_burrowsae,Amphibians,Litoria_burrowsae,Litoria burrowsae,,,
Litoria_caerulea,Amphibians,Litoria_caerulea,Litoria caerulea,,,
Litoria_chloris,Amphibians,Litoria_chloris,Litoria chloris,,,
Litoria_citropa,Amphibians,Litoria_citropa,Litoria citropa,,,
Litoria_eucnemis,Amphibians,Litoria_eucnemis,Litoria eucnemis,,,
Litoria_gracilenta,Amphibians,Litoria_gracilenta,Litoria gracilenta,,,
Litoria_infrafrenata,Amphibians,Litoria_infrafrenata,Litoria infrafrenata,,,
Litoria_jungguy,Amphibians,Litoria_jungguy,Litoria jungguy,,,
Litoria_longirostris,Amphibians,Litoria_longirostris,Litoria longirostris,,,
Litoria_rothii,Amphibians,Litoria_rothii,Litoria rothii,,,
Litoria_rubella,Amphibians,Litoria_rubella,Litoria rubella,,,
Litoria_splendida,Amphibians,Litoria_splendida,Litoria splendida,,,
Litoria_barringtonensis,Amphibians,Litoria_barringtonensis,Litoria barringtonensis,,,
Litoria_bicolor,Amphibians,Litoria_bicolor,Litoria bicolor,,,
Litoria_brevipalmata,Amphibians,Litoria_brevipalmata,Litoria brevipalmata,,,
Litoria_cooloolensis,Amphibians,Litoria_cooloolensis,Litoria cooloolensis,,,
Litoria_cyclorhyncha,Amphibians,Litoria_cyclorhyncha,Litoria cyclorhyncha,,,
Litoria_dentata,Amphibians,Litoria_dentata,Litoria dentata,,,
Litoria_electrica,Amphibians,Litoria_electrica,Litoria electrica,,,
Litoria_fallax,Amphibians,Litoria_fallax,Litoria fallax,,,
Litoria_freycineti,Amphibians,Litoria_freycineti,Litoria freycineti,,,
Litoria_inermis,Amphibians,Litoria_inermis,Litoria inermis,,,
Litoria_jervisiensis,Amphibians,Litoria_jervisiensis,Litoria jervisiensis,,,
Litoria_littlejohni,Amphibians,Litoria_littlejohni,Litoria littlejohni,Litoria littlejohni,Endangered,Litoria littlejohni
Litoria_microbelos,Amphibians,Litoria_microbelos,Litoria microbelos,,,
Litoria_moorei,Amphibians,Litoria_moorei,Litoria moorei,,,
Litoria_nannotis,Amphibians,Litoria_nannotis,Litoria nannotis,,,
Litoria_nasuta,Amphibians,Litoria_nasuta,Litoria nasuta,,,
Litoria_pallida,Amphibians,Litoria_pallida,Litoria pallida,,,
Litoria_personata,Amphibians,Litoria_personata,Litoria personata,,,
Litoria_tornieri,Amphibians,Litoria_tornieri,Litoria tornieri,,,
Litoria_nigrofrenata,Amphibians,Litoria_nigrofrenata,Litoria nigrofrenata,,,
Litoria_nudidigita,Amphibians,Litoria_nudidigita,Litoria nudidigita,,,
Litoria_pearsoniana,Amphibians,Litoria_pearsoniana,Litoria pearsoniana,,,
Litoria_peronii,Amphibians,Litoria_peronii,Litoria peronii,,,
Litoria_phyllochroa,Amphibians,Litoria_phyllochroa,Litoria phyllochroa,,,
Litoria_revelata,Amphibians,Litoria_revelata,Litoria revelata,,,
Litoria_genimaculata,Amphibians,Litoria_genimaculata,Litoria genimaculata,,,
Acanthagenys_rufogularis,Birds,Acanthagenys_rufogularis,Acanthagenys rufogularis,,,
Acanthiza_ewingii,Birds,Acanthiza_ewingii,Acanthiza ewingii,,,
Acanthiza_inornata,Birds,Acanthiza_inornata,Acanthiza inornata,,,
Acanthiza_iredalei,Birds,Acanthiza_iredalei,Acanthiza iredalei,,,
Acanthiza_katherina,Birds,Acanthiza_katherina,Acanthiza katherina,,,
Acanthiza_lineata,Birds,Acanthiza_lineata,Acanthiza lineata,,,
Acanthiza_nana,Birds,Acanthiza_nana,Acanthiza nana,,,
Acanthiza_pusilla,Birds,Acanthiza_pusilla,Acanthiza pusilla,,,
Acanthiza_reguloides,Birds,Acanthiza_reguloides,Acanthiza reguloides,,,
Acanthiza_uropygialis,Birds,Acanthiza_uropygialis,Acanthiza uropygialis,,,
Acanthorhynchus_tenuirostris,Birds,Acanthorhynchus_tenuirostris,Acanthorhynchus tenuirostris,,,
Acanthornis_magna,Birds,Acanthornis_magna,Acanthornis magna,,,
Accipiter_fasciatus,Birds,Accipiter_fasciatus,Accipiter fasciatus,,,
Accipiter_novaehollandiae,Birds,Accipiter_novaehollandiae,Accipiter novaehollandiae,,,
Acrocephalus_australis,Birds,Acrocephalus_australis,Acrocephalus australis,,,
Acrocephalus_stentoreus,Birds,Acrocephalus_stentoreus,Acrocephalus stentoreus,,,
Aegotheles_cristatus,Birds,Aegotheles_cristatus,Aegotheles cristatus,,,
Aerodramus_terraereginae,Birds,Aerodramus_terraereginae,Aerodramus terraereginae,,,
Ailuroedus_crassirostris,Birds,Ailuroedus_crassirostris,Ailuroedus crassirostris,,,
Ailuroedus_melanotis,Birds,Ailuroedus_melanotis,Ailuroedus melanotis,,,
Alectura_lathami,Birds,Alectura_lathami,Alectura lathami,,,
Porzana_cinerea,Birds,Porzana_cinerea,Porzana cinerea,,,
Amaurornis_moluccana,Birds,Amaurornis_moluccana,Amaurornis moluccana,,,
Amytornis_ballarae,Birds,Amytornis_ballarae,Amytornis ballarae,,,
Amytornis_barbatus,Birds,Amytornis_barbatus,Amytornis barbatus,,,
Amytornis_dorotheae,Birds,Amytornis_dorotheae,Amytornis dorotheae,Amytornis dorotheae,Endangered,Amytornis dorotheae
Amytornis_goyderi,Birds,Amytornis_goyderi,Amytornis goyderi,,,
Amytornis_housei,Birds,Amytornis_housei,Amytornis housei,,,
Amytornis_merrotsyi,Birds,Amytornis_merrotsyi,Amytornis merrotsyi,,,
Amytornis_modestus,Birds,Amytornis_modestus,Amytornis modestus,Amytornis modestus,Vulnerable,Amytornis modestus
Amytornis_purnelli,Birds,Amytornis_purnelli,Amytornis purnelli,,,
Amytornis_textilis,Birds,Amytornis_textilis,Amytornis textilis,,,
Amytornis_woodwardi,Birds,Amytornis_woodwardi,Amytornis woodwardi,Amytornis woodwardi,Vulnerable,Amytornis woodwardi
Anas_castanea,Birds,Anas_castanea,Anas castanea,,,
Anas_gibberifrons,Birds,Anas_gibberifrons,Anas gibberifrons,,,
Anas_gracilis,Birds,Anas_gracilis,Anas gracilis,,,
Anas_superciliosa,Birds,Anas_superciliosa,Anas superciliosa,,,
Anhinga_novaehollandiae,Birds,Anhinga_novaehollandiae,Anhinga novaehollandiae,,,
Anser_anser,Birds,Anser_anser,Anser anser,,,
Anthochaera_carunculata,Birds,Anthochaera_carunculata,Anthochaera carunculata,,,
Anthochaera_chrysoptera,Birds,Anthochaera_chrysoptera,Anthochaera chrysoptera,,,
Anthochaera_lunulata,Birds,Anthochaera_lunulata,Anthochaera lunulata,,,
Anthochaera_paradoxa,Birds,Anthochaera_paradoxa,Anthochaera paradoxa,,,
Anthochaera_phrygia,Birds,Anthochaera_phrygia,Anthochaera phrygia,Anthochaera phrygia,Critically,Anthochaera phrygia
Anthus_novaeseelandiae,Birds,Anthus_novaeseelandiae,Anthus novaeseelandiae,,,
Grus_antigone,Birds,Grus_antigone,Grus antigone,,,
Grus_rubicunda,Birds,Grus_rubicunda,Grus rubicunda,,,
Aphelocephala_leucopsis,Birds,Aphelocephala_leucopsis,Aphelocephala leucopsis,Aphelocephala leucopsis,Vulnerable,Aphelocephala leucopsis
Aphelocephala_nigricincta,Birds,Aphelocephala_nigricincta,Aphelocephala nigricincta,,,
Aphelocephala_pectoralis,Birds,Aphelocephala_pectoralis,Aphelocephala pectoralis,,,
Apus_pacificus,Birds,Apus_pacificus,Apus pacificus,,,
Aquila_audax,Birds,Aquila_audax,Aquila audax,,,
Ardea_intermedia,Birds,Ardea_intermedia,Ardea intermedia,,,
Ardea_alba,Birds,Ardea_alba,Ardea alba,,,
Ardea_modesta,Birds,Ardea_modesta,Ardea modesta,,,
Ardea_pacifica,Birds,Ardea_pacifica,Ardea pacifica,,,
Ardea_sumatrana,Birds,Ardea_sumatrana,Ardea sumatrana,,,
Ardeotis_australis,Birds,Ardeotis_australis,Ardeotis australis,,,
Arses_lorealis,Birds,Arses_lorealis,Arses lorealis,,,
Artamus_cinereus,Birds,Artamus_cinereus,Artamus cinereus,,,
Artamus_cyanopterus,Birds,Artamus_cyanopterus,Artamus cyanopterus,,,
Artamus_leucorynchus,Birds,Artamus_leucorynchus,Artamus leucorynchus,,,
Artamus_personatus,Birds,Artamus_personatus,Artamus personatus,,,
Artamus_superciliosus,Birds,Artamus_superciliosus,Artamus superciliosus,,,
Ashbyia_lovensis,Birds,Ashbyia_lovensis,Ashbyia lovensis,,,
Atrichornis_rufescens,Birds,Atrichornis_rufescens,Atrichornis rufescens,Atrichornis rufescens,Endangered,Atrichornis rufescens
Aythya_australis,Birds,Aythya_australis,Aythya australis,,,
Barnardius_zonarius,Birds,Barnardius_zonarius,Barnardius zonarius,,,
Biziura_lobata,Birds,Biziura_lobata,Biziura lobata,,,
Lichenostomus_frenatus,Birds,Lichenostomus_frenatus,Lichenostomus frenatus,,,
Lichenostomus_hindwoodi,Birds,Lichenostomus_hindwoodi,Lichenostomus hindwoodi,,,
Botaurus_poiciloptilus,Birds,Botaurus_poiciloptilus,Botaurus poiciloptilus,Botaurus poiciloptilus,Endangered,Botaurus poiciloptilus
Butorides_striatus,Birds,Butorides_striatus,Butorides striatus,,,
Cacatua_galerita,Birds,Cacatua_galerita,Cacatua galerita,,,
Lophochroa_leadbeateri,Birds,Lophochroa_leadbeateri,Lophochroa leadbeateri,,,
Cacatua_pastinator,Birds,Cacatua_pastinator,Cacatua pastinator,,,
Cacatua_tenuirostris,Birds,Cacatua_tenuirostris,Cacatua tenuirostris,,,
Cacomantis_castaneiventris,Birds,Cacomantis_castaneiventris,Cacomantis castaneiventris,,,
Cacomantis_flabelliformis,Birds,Cacomantis_flabelliformis,Cacomantis flabelliformis,,,
Cacomantis_pallidus,Birds,Cacomantis_pallidus,Cacomantis pallidus,,,
Cacomantis_variolosus,Birds,Cacomantis_variolosus,Cacomantis variolosus,,,
Calamanthus_campestris,Birds,Calamanthus_campestris,Calamanthus campestris,,,
Hylacola_cautus,Birds,Hylacola_cautus,Hylacola cautus,,,
Calamanthus_fuliginosus,Birds,Calamanthus_fuliginosus,Calamanthus fuliginosus,,,
Hylacola_pyrrhopygia,Birds,Hylacola_pyrrhopygia,Hylacola pyrrhopygia,,,
Lichenostomus_chrysops,Birds,Lichenostomus_chrysops,Lichenostomus chrysops,,,
Callocephalon_fimbriatum,Birds,Callocephalon_fimbriatum,Callocephalon fimbriatum,Callocephalon fimbriatum,Endangered,Callocephalon fimbriatum
Calyptorhynchus_banksii,Birds,Calyptorhynchus_banksii,Calyptorhynchus banksii,,,
Calyptorhynchus_lathami,Birds,Calyptorhynchus_lathami,Calyptorhynchus lathami,,,
Caprimulgus_macrurus,Birds,Caprimulgus_macrurus,Caprimulgus macrurus,,,
Carduelis_carduelis,Birds,Carduelis_carduelis,Carduelis carduelis,,,
Carterornis_leucotis,Birds,Carterornis_leucotis,Carterornis leucotis,,,
Casuarius_casuarius,Birds,Casuarius_casuarius,Casuarius casuarius,,,
Centropus_phasianinus,Birds,Centropus_phasianinus,Centropus phasianinus,,,
Cereopsis_novaehollandiae,Birds,Cereopsis_novaehollandiae,Cereopsis novaehollandiae,,,
Certhionyx_variegatus,Birds,Certhionyx_variegatus,Certhionyx variegatus,,,
Ceyx_azureus,Birds,Ceyx_azureus,Ceyx azureus,,,
Ceyx_pusilla,Birds,Ceyx_pusilla,Ceyx pusilla,,,
Chalcites_basalis,Birds,Chalcites_basalis,Chalcites basalis,,,
Chrysococcyx_osculans,Birds,Chrysococcyx_osculans,Chrysococcyx osculans,,,
Chalcophaps_indica,Birds,Chalcophaps_indica,Chalcophaps indica,,,
Chenonetta_jubata,Birds,Chenonetta_jubata,Chenonetta jubata,,,
Cheramoeca_leucosterna,Birds,Cheramoeca_leucosterna,Cheramoeca leucosterna,,,
Ptilonorhynchus_cerviniventris,Birds,Ptilonorhynchus_cerviniventris,Ptilonorhynchus cerviniventris,,,
Ptilonorhynchus_guttatus,Birds,Ptilonorhynchus_guttatus,Ptilonorhynchus guttatus,,,
Ptilonorhynchus_maculatus,Birds,Ptilonorhynchus_maculatus,Ptilonorhynchus maculatus,,,
Ptilonorhynchus_nuchalis,Birds,Ptilonorhynchus_nuchalis,Ptilonorhynchus nuchalis,,,
Erythrura_gouldiae,Birds,Erythrura_gouldiae,Erythrura gouldiae,Erythrura gouldiae,Endangered,Erythrura gouldiae
Chloris_chloris,Birds,Chloris_chloris,Chloris chloris,,,
Chrysococcyx_lucidus,Birds,Chrysococcyx_lucidus,Chrysococcyx lucidus,,,
Cincloramphus_cruralis,Birds,Cincloramphus_cruralis,Cincloramphus cruralis,,,
Cincloramphus_mathewsi,Birds,Cincloramphus_mathewsi,Cincloramphus mathewsi,,,
Megalurus_timoriensis,Birds,Megalurus_timoriensis,Megalurus timoriensis,,,
Cinclosoma_castaneothorax,Birds,Cinclosoma_castaneothorax,Cinclosoma castaneothorax,,,
Cinclosoma_castanotum,Birds,Cinclosoma_castanotum,Cinclosoma castanotum,,,
Cinclosoma_cinnamomeum,Birds,Cinclosoma_cinnamomeum,Cinclosoma cinnamomeum,,,
Circus_approximans,Birds,Circus_approximans,Circus approximans,,,
Circus_assimilis,Birds,Circus_assimilis,Circus assimilis,,,
Cisticola_exilis,Birds,Cisticola_exilis,Cisticola exilis,,,
Cisticola_juncidis,Birds,Cisticola_juncidis,Cisticola juncidis,,,
Cladorhynchus_leucocephalus,Birds,Cladorhynchus_leucocephalus,Cladorhynchus leucocephalus,,,
Climacteris_affinis,Birds,Climacteris_affinis,Climacteris affinis,,,
Climacteris_erythrops,Birds,Climacteris_erythrops,Climacteris erythrops,,,
Climacteris_melanura,Birds,Climacteris_melanura,Climacteris melanura,,,
