Scientific Name,Common Name,Endangered Status,Group
Perameles papillon,"Butterfly Bandicoot, Nullarbor Barred Bandicoot",Extinct,Mammals
Pipistrellus murrayi,Christmas Island Pipistrelle,Extinct,Mammals
Potorous platyops,"Broad-faced Potoroo, Moda",Extinct,Mammals
Pseudomys auritus,Long-eared Mouse,Extinct,Mammals
Pseudomys glaucus,Blue-grey Mouse,Extinct,Mammals
Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Mammals
Pteropus brunneus,"Percy Island Flying-fox, Dusky Fruit Bat",Extinct,Mammals
Rattus macleari,"Maclear's Rat, Christmas Island Rat",Extinct,Mammals
Rattus nativitatis,"Bulldog Rat, Christmas Island Burrowing Rat",Extinct,Mammals
Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",Extinct,Mammals
Hypolimnus pedderensis,Lake Pedder Earthworm,Extinct,Other Animals
Galaxias pedderensis,Pedder Galaxias,Extinct,Fishes
Bidyanus bidyanus,"Silver Perch, Bidyan",Critically,Fishes
Brachionichthys hirsutus,Spotted Handfish,Critically,Fishes
Cairnsichthys bitaeniatus,Daintree Rainbowfish,Critically,Fishes
Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),Critically,Fishes
Galaxias aequipinnis,East Gippsland Galaxias,Critically,Fishes
Galaxias brevissimus,Short-tail Galaxias,Critically,Fishes
Galaxias gunaikurnai,Shaw Galaxias,Critically,Fishes
Galaxias lanceolatus,Tapered Galaxias,Critically,Fishes
Galaxias longifundus,West Gippsland Galaxias,Critically,Fishes
Galaxias mcdowalli,McDowall's Galaxias,Critically,Fishes
Galaxias mungadhan,Dargo Galaxias,Critically,Fishes
Galaxias rostratus,"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",Critically,Fishes
Galaxias sp. nov. 'Hunter',"Hunter Galaxias, Hunter Upland Galaxias",Critically,Fishes
Galaxias sp. nov. 'Moroka',Moroka Galaxias,Critically,Fishes
Galaxias sp. nov. 'Morwell',Morwell Galaxias,Critically,Fishes
Galaxias sp. nov. 'Yalmy',Yalmy Galaxias,Critically,Fishes
Galaxias supremus,Kosciuszko Galaxias,Critically,Fishes
Galaxias tantangara,Stocky Galaxias,Critically,Fishes
Glyphis glyphis,Speartooth Shark,Critically,Fishes
Hypseleotris gymnocephala,Bald Carp Gudgeon,Critically,Fishes
Melanotaenia sp. nov. 'Malanda',Malanda Rainbowfish,Critically,Fishes
Melanotaenia sp. nov. 'Running River',Running River Rainbowfish,Critically,Fishes
Mogurnda thermophila,"Dalhousie Mogurnda, Dalhousie Purple-spotted Gudgeon",Critically,Fishes
Stiphodon semoni,Opal Cling Goby,Critically,Fishes
Thymichthys politus,Red Handfish,Critically,Fishes
Assa wollumbin,"Mount Wollumbin Hip-pocket Frog, Wollumbin Pouched Frog",Critically,Frogs
Cophixalus concinnus,Elegant Frog,Critically,Frogs
Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",Critically,Frogs
Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",Critically,Frogs
Cophixalus monticola,Mountain-top Nursery-frog,Critically,Frogs
Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",Critically,Frogs
Geocrinia alba = Anstisia alba,"White-bellied Frog, Creek Frog",Critically,Frogs
Litoria castanea,"Yellow-spotted Tree Frog, Yellow-spotted Bell Frog",Critically,Frogs
Litoria kroombitensis,Kroombit Treefrog,Critically,Frogs
Litoria lorica,Armoured Mist Frog,Critically,Frogs
Litoria myola,Kuranda Tree Frog,Critically,Frogs
Litoria nyakalensis,"Mountain Mist Frog, Nyakala Frog",Critically,Frogs
Litoria spenceri,Spotted Tree Frog,Critically,Frogs
Philoria frosti,Baw Baw Frog,Critically,Frogs
Pseudophryne corroboree,Southern Corroboree Frog,Critically,Frogs
Pseudophryne pengilleyi,Northern Corroboree Frog,Critically,Frogs
Taudactylus pleione,"Kroombit Tinker Frog, Pleione's Torrent Frog",Critically,Frogs
Taudactylus rheophilus,Tinkling Frog,Critically,Frogs
Aipysurus apraefrontalis,"Short-nosed Sea Snake, Short-nosed Seasnake",Critically,Reptiles
Aipysurus foliosquama,"Leaf-scaled Sea Snake, Leaf-scaled Seasnake",Critically,Reptiles
Anilios insperatus,Fassifern Blind Snake,Critically,Reptiles
Austroablepharus barrylyoni,"Lyon's Grassland Striped Skink, Lyon's Snake-eyed Skink",Critically,Reptiles
Carinascincus palfreymani,"Pedra Branca Skink, Pedra Branca Cool-skink, Red-throated Skink",Critically,Reptiles
Cryptoblepharus egeriae,"Christmas Island Blue-tailed Skink, Blue-tailed Snake-eyed Skink",Critically,Reptiles
Ctenotus serotinus,Gravel Downs Ctenotus,Critically,Reptiles
Egernia roomi,"Kaputar Rock Skink, Mt Kaputar Rock Skink",Critically,Reptiles
Elseya albagula,"Southern Snapping Turtle, White-throated Snapping Turtle",Critically,Reptiles
Emydura subglobosa subglobosa,"Jardine River Turtle, Red-flushed River Turtle",Critically,Reptiles
Lampropholis elongata,Long Sunskink,Critically,Reptiles
Lepidodactylus listeri,"Christmas Island Gecko, Lister's Gecko",Critically,Reptiles
Nangura spinosa,Nangur Spiny Skink,Critically,Reptiles
Oedura lineata,Arcadia Velvet Gecko,Critically,Reptiles
Orraya occultus,"Long-necked Northern Leaf-tailed Gecko, McIlwraith Leaf-tailed Gecko",Critically,Reptiles
Phyllurus gulbaru,Gulbaru Gecko,Critically,Reptiles
Phyllurus kabikabi,Oakview Leaf-tailed Gecko,Critically,Reptiles
Phyllurus pinnaclensis,Pinnacles Leaf-tailed Gecko,Critically,Reptiles
Pseudemydura umbrina,Western Swamp Tortoise,Critically,Reptiles
Saltuarius eximius,Cape Melville Leaf-tail Gecko,Critically,Reptiles
Tiliqua scincoides intermedia,Northern Blue-tongued Skink,Critically,Reptiles
Tympanocryptis lineata,"Canberra Grassland Earless Dragon, Lined Earless Dragon",Critically,Reptiles
Tympanocryptis mccartneyi,Bathurst Grassland Earless Dragon,Critically,Reptiles
Tympanocryptis pinguicolla,Victorian Grassland Earless Dragon,Critically,Reptiles
Varanus mitchelli,Mitchell's Water Monitor,Critically,Reptiles
Wollumbinia georgesi = Myuchelys georgesi,"Georges' Snapping Turtle, Bellinger River Sawshell Turtle, Georges Helmeted Turtle",Critically,Reptiles
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically,Birds
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically,Birds
Amytornis striatus striatus,"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Critically,Birds
Anthochaera phrygia,Regent Honeyeater,Critically,Birds
Calidris ferruginea,Curlew Sandpiper,Critically,Birds
Cinclosoma punctatum anachoreta,"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",Critically,Birds
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,Critically,Birds
Epthianura crocea macgregori,"Capricorn Yellow Chat, Yellow Chat (Dawson)",Critically,Birds
Lathamus discolor,Swift Parrot,Critically,Birds
Lichenostomus melanops cassidix,"Helmeted Honeyeater, Yellow-tufted Honeyeater (Helmeted)",Critically,Birds
Melanodryas cucullata melvillensis,"Tiwi Islands Hooded Robin, Hooded Robin (Tiwi Islands)",Critically,Birds
Neophema chrysogaster,Orange-bellied Parrot,Critically,Birds
Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically,Birds
Pedionomus torquatus,Plains-wanderer,Critically,Birds
Pezoporus flaviventris,"Western Ground Parrot, Kyloring",Critically,Birds
Pterodroma heraldica,Herald Petrel,Critically,Birds
Crocidura trichura,Christmas Island Shrew,Critically,Mammals
Gymnobelideus leadbeateri,Leadbeater's Possum,Critically,Mammals
Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically,Mammals
Miniopterus orianae bassanii,Southern Bent-wing Bat,Critically,Mammals
Petrogale concinna concinna,Nabarlek (Victoria River District),Critically,Mammals
Potorous gilbertii,"Gilbert's Potoroo, Ngilkat",Critically,Mammals
Pseudocheirus occidentalis,"Western Ringtail Possum, Ngwayir, Womp, Woder, Ngoor, Ngoolangit",Critically,Mammals
Pteropus natalis,"Christmas Island Flying-fox, Christmas Island Fruit-bat",Critically,Mammals
Zyzomys pedunculatus,"Central Rock-rat, Antina",Critically,Mammals
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically,Other Animals
Advena campbellii,Campbell's Keeled Glass-snail,Critically,Other Animals
Ammoniropa vigens,Ammonite Pinwheel Snail,Critically,Other Animals
Argynnis hyperbius inconstans,Australian Fritillary,Critically,Other Animals
Cherax tenuimanus,"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",Critically,Other Animals
Cormodes darwini,a beetle,Critically,Other Animals
Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",Critically,Other Animals
Engaewa pseudoreducta,Margaret River Burrowing Crayfish,Critically,Other Animals
Engaewa reducta,Dunsborough Burrowing Crayfish,Critically,Other Animals
Euastacus bindal,Mt Elliot Crayfish,Critically,Other Animals
Euastacus binzayedi,Embezee's Crayfish,Critically,Other Animals
Euastacus dalagarbe,Mud Gully Crayfish,Critically,Other Animals
Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,Critically,Other Animals
Euastacus guwinus,Tianjara Crayfish,Critically,Other Animals
Euastacus jagabar,Blue-black Crayfish,Critically,Other Animals
Euastacus jagara,Jagara Hairy Crayfish,Critically,Other Animals
Euastacus maidae,"Hinterland Spiny Crayfish, Hinterland Crayfish",Critically,Other Animals
Euastacus morgani,Morgan's Crayfish,Critically,Other Animals
Euastacus vesper,Cudgegong Giant Spiny Crayfish,Critically,Other Animals
Gudeoconcha sophiae magnifica,Magnificent Helicarionid Land Snail,Critically,Other Animals
Hesperocolletes douglasi,"Douglas' Broad-headed Bee, Rottnest Bee",Critically,Other Animals
Hoplogonus bornemisszai,Bornemissza's Stag Beetle,Critically,Other Animals
Hypochrysops piceatus,Bulloak Jewel Butterfly,Critically,Other Animals
Hyridella glenelgensis,Glenelg Freshwater Mussel,Critically,Other Animals
Leioproctus douglasiellus,a short-tongued bee,Critically,Other Animals
Marginaster littoralis,Derwent River Seastar,Critically,Other Animals
Mathewsoconcha grayi ms,Gray's Helicarionid Land Snail,Critically,Other Animals
Mathewsoconcha phillipii,Phillip Island Helicarionid Land Snail,Critically,Other Animals
Mathewsoconcha suteri,Suter's Striped Glass-snail,Critically,Other Animals
Micropathus kiernani,"Francistown Cave Cricket, Southern sandstone cave cricket",Critically,Other Animals
Mystivagor mastersi,Masters' Charopid Land Snail,Critically,Other Animals
Neopasiphae simplicior,A native bee,Critically,Other Animals
Ogyris subterrestris petrina,Arid Bronze Azure,Critically,Other Animals
Ordtrachia septentrionalis,Rosewood Keeled Snail,Critically,Other Animals
Pericryptodrilus nanus,Lord Howe Earthworm,Critically,Other Animals
Promethis sterrha,a beetle,Critically,Other Animals
Pseudocharopa ledgbirdi,Mount Lidgbird Charopid Land Snail,Critically,Other Animals
Pseudocharopa whiteleggei,Whitelegge's Land Snail,Critically,Other Animals
Pseudococcus markharveyi,Banksia montana mealybug,Critically,Other Animals
Quintalia stoddartii,Stoddart's Helicarionid Land Snail,Critically,Other Animals
Thersites mitchellae,Mitchell's Rainforest Snail,Critically,Other Animals
Zephyrarchaea austini,Kangaroo Island Assassin Spider,Critically,Other Animals
Cairnsichthys rhombosomoides,"Cairns Rainbowfish, Northern Soft-spined Sunfish",Endangered,Fishes
Chlamydogobius micropterus,Elizabeth Springs Goby,Endangered,Fishes
Craterocephalus fluviatilis,Murray Hardyhead,Endangered,Fishes
Galaxias auratus,Golden Galaxias,Endangered,Fishes
Galaxias fontanus,Swan Galaxias,Endangered,Fishes
Galaxias fuscus,Barred Galaxias,Endangered,Fishes
Galaxias johnstoni,Clarence Galaxias,Endangered,Fishes
Galaxias terenasus,Roundsnout Galaxias,Endangered,Fishes
Galaxias truttaceus (Western Australian population),Western Trout Minnow,Endangered,Fishes
Galaxiella nigrostriata,"Blackstriped Dwarf Galaxias, Black-stripe Minnow",Endangered,Fishes
Galaxiella pusilla,"Eastern Dwarf Galaxias, Dwarf Galaxias",Endangered,Fishes
Glyphis garricki,"Northern River Shark, New Guinea River Shark",Endangered,Fishes
Hippocampus whitei,"White's Seahorse, Crowned Seahorse, Sydney Seahorse",Endangered,Fishes
Maccullochella ikei,"Clarence River Cod, Eastern Freshwater Cod",Endangered,Fishes
Maccullochella macquariensis,Trout Cod,Endangered,Fishes
Maccullochella mariensis,Mary River Cod,Endangered,Fishes
Macquaria australasica,Macquarie Perch,Endangered,Fishes
Melanotaenia eachamensis,Lake Eacham Rainbowfish,Endangered,Fishes
Mordacia praecox,"Non-parasitic Lamprey, Precocious Lamprey",Endangered,Fishes
Nannoperca obscura,Yarra Pygmy Perch,Endangered,Fishes
Nannoperca oxleyana,Oxleyan Pygmy Perch,Endangered,Fishes
Nannoperca pygmaea,Little Pygmy Perch,Endangered,Fishes
Paragalaxias mesotes,Arthurs Paragalaxias,Endangered,Fishes
Pseudomugil mellis,"Honey Blue Eye, Honey Blue-eye",Endangered,Fishes
Scaturiginichthys vermeilipinnis,"Redfin Blue Eye, Redfin Blue-eye",Endangered,Fishes
Zearaja maugeana,"Maugean Skate, Port Davey Skate",Endangered,Fishes
Cophixalus aenigma,Tapping Nursery-frog,Endangered,Frogs
Crinia sloanei,Sloane's Froglet,Endangered,Frogs
Litoria booroolongensis,Booroolong Frog,Endangered,Frogs
Litoria littlejohni,"Northern Heath Frog, Littlejohn's Tree Frog",Endangered,Frogs
Litoria watsoni,"Southern Heath Frog, Watson's Tree Frog",Endangered,Frogs
Mixophyes fleayi,Fleay's Frog,Endangered,Frogs
Philoria kundagungan,Mountain Frog,Endangered,Frogs
Philoria richmondensis,Richmond Range Sphagnum Frog,Endangered,Frogs
Taudactylus eungellensis,Eungella Day Frog,Endangered,Frogs
Uperoleia mahonyi,Mahony's Toadlet,Endangered,Frogs
Uperoleia martini,Martin's Toadlet,Endangered,Frogs
Bellatorias obiri,Arnhem Land Egernia,Endangered,Reptiles
Caretta caretta,Loggerhead Turtle,Endangered,Reptiles
Carinascincus greeni,"Alpine Cool-skink, Northern Snow Skink",Endangered,Reptiles
Carinascincus microlepidotus,"Boulder Cool-skink, Southern Snow Skink",Endangered,Reptiles
Carinascincus orocryptus,"Heath Cool-skink, Mountain Skink",Endangered,Reptiles
Cryptoblepharus gurrmul,Arafura Snake-eyed Skink,Endangered,Reptiles
Cyclodomorphus praealtus,Alpine She-oak Skink,Endangered,Reptiles
Cyrtodactylus sadleiri,Christmas Island Giant Gecko,Endangered,Reptiles
Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Reptiles
Egernia stokesii badia,"Western Spiny-tailed Skink, Baudin Island Spiny-tailed Skink",Endangered,Reptiles
Elseya lavarackorum,Gulf Snapping Turtle,Endangered,Reptiles
Elusor macrurus,"Mary River Turtle, Mary River Tortoise",Endangered,Reptiles
Eulamprus leuraensis,Blue Mountains Water Skink,Endangered,Reptiles
Eulamprus tympanum marnieae,"Corangamite Water Skink, Dreeite Water Skink",Endangered,Reptiles
Hemiaspis damelii,Grey Snake,Endangered,Reptiles
Hoplocephalus bungaroides,Broad-headed Snake,Endangered,Reptiles
Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",Endangered,Reptiles
Lerista allanae,"Allan's Lerista, Retro Slider",Endangered,Reptiles
Lerista nevinae,Nevin's Slider,Endangered,Reptiles
Liopholis guthega,Guthega Skink,Endangered,Reptiles
Liopholis montana,Mountain Skink,Endangered,Reptiles
Liopholis slateri slateri,"Slater's Skink, Floodplain Skink",Endangered,Reptiles
Lissolepis coventryi,"Swamp Skink, Eastern Mourning Skink",Endangered,Reptiles
Lucasium occultum,"Yellow-snouted Gecko, Yellow-snouted Ground Gecko",Endangered,Reptiles
Myuchelys belli,Western Sawshelled Turtle,Endangered,Reptiles
Myuchelys purvisi,Purvis' Turtle,Endangered,Reptiles
Pseudemoia cryodroma,"Alpine Bog Skink, Alpine Bog-skink",Endangered,Reptiles
Saltuarius kateae,Kate's Leaf-tail Gecko,Endangered,Reptiles
Tiliqua adelaidensis,"Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",Endangered,Reptiles
Tympanocryptis condaminensis,Condamine Earless Dragon,Endangered,Reptiles
Tympanocryptis osbornei,Monaro Grassland Earless Dragon,Endangered,Reptiles
Varanus mertensi,"Mertens' Water Monitor, Mertens's Water Monitor",Endangered,Reptiles
Acanthiza pusilla magnirostris,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Birds
Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,Birds
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Birds
Amytornis dorotheae,Carpentarian Grasswren,Endangered,Birds
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Birds
Amytornis striatus howei,"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Endangered,Birds
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Birds
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Endangered,Birds
Atrichornis rufescens,Rufous Scrub-bird,Endangered,Birds
Botaurus poiciloptilus,Australasian Bittern,Endangered,Birds
Calamanthus pyrrhopygius parkeri = Hylacola pyrrhopygia parkeri,Chestnut-rumped Heathwren (Mt Lofty Ranges),Endangered,Birds
Callocephalon fimbriatum,Gang-gang Cockatoo,Endangered,Birds
Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,Endangered,Birds
Calyptorhynchus baudinii = Zanda baudinii,"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,Birds
Calyptorhynchus lathami halmaturinus,"Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)",Endangered,Birds
Calyptorhynchus latirostris = Zanda latirostris,"Carnaby's Cockatoo, Short-billed Black-Cockatoo",Endangered,Birds
Casuarius casuarius johnsonii,"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,Birds
Ceyx azureus diemenensis,Tasmanian Azure Kingfisher,Endangered,Birds
Chalcophaps indica natalis,"Christmas Island Emerald Dove, Emerald Dove (Christmas Island)",Endangered,Birds
Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Birds
Cyanoramphus cookii,"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",Endangered,Birds
Dasyornis brachypterus,Eastern Bristlebird,Endangered,Birds
Dasyornis longirostris,Western Bristlebird,Endangered,Birds
Diomedea amsterdamensis,Amsterdam Albatross,Endangered,Birds
Diomedea dabbenena,Tristan Albatross,Endangered,Birds
Diomedea sanfordi,Northern Royal Albatross,Endangered,Birds
Epthianura crocea tunneyi,"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Endangered,Birds
Erythrotriorchis radiatus,Red Goshawk,Endangered,Birds
Erythrura gouldiae,Gouldian Finch,Endangered,Birds
Fregata andrewsi,"Christmas Island Frigatebird, Andrew's Frigatebird",Endangered,Birds
Hypotaenidia philippensis andrewsi,"Buff-banded Rail (Cocos (Keeling) Islands), Ayam Hutan",Endangered,Birds
Hypotaenidia sylvestris,Lord Howe Woodhen,Endangered,Birds
Limosa lapponica baueri,"Nunivak Bar-tailed Godwit, Western Alaskan Bar-tailed Godwit",Endangered,Birds
Limosa lapponica menzbieri,"Northern Siberian Bar-tailed Godwit, Russkoye Bar-tailed Godwit",Endangered,Birds
Limosa limosa,Black-tailed Godwit,Endangered,Birds
Lophochroa leadbeateri leadbeateri,"Major Mitchell's Cockatoo (eastern), Eastern Major Mitchell's Cockatoo, Pink Cockatoo (eastern)",Endangered,Birds
Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",Endangered,Birds
Malurus coronatus coronatus,Purple-crowned Fairy-wren (western),Endangered,Birds
Manorina melanotis,Black-eared Miner,Endangered,Birds
Melanodryas cucullata cucullata,"South-eastern Hooded Robin, Hooded Robin (south-eastern)",Endangered,Birds
Melithreptus brevirostris magnirostris,Kangaroo Island Brown-headed Honeyeater,Endangered,Birds
Neochmia ruficauda ruficauda,"Star Finch (eastern), Star Finch (southern)",Endangered,Birds
Nesoptilotis leucotis thomasi,Kangaroo Island White-eared Honeyeater,Endangered,Birds
Ninox novaeseelandiae undulata,"Norfolk Island Boobook, Norfolk Island Morepork, Southern Boobook (Norfolk Island)",Endangered,Birds
Papasula abbotti,Abbott's Booby,Endangered,Birds
Pardalotus quadragintus,Forty-spotted Pardalote,Endangered,Birds
Pezoporus occidentalis,Night Parrot,Endangered,Birds
Phaethon lepturus fulvus,"Christmas Island White-tailed Tropicbird, Golden Bosunbird",Endangered,Birds
Phaethon rubricauda westralis,"Red-tailed Tropicbird (Indian Ocean), Indian Ocean Red-tailed Tropicbird",Endangered,Birds
Poephila cincta cincta,Southern Black-throated Finch,Endangered,Birds
Psephotus chrysopterygius,"Golden-shouldered Parrot, Alwal, Thaku, Arrmorral, Minpin",Endangered,Birds
Psophodes leucogaster leucogaster,Mallee Whipbird,Endangered,Birds
Psophodes nigrogularis lashmari = Psophodes leucogaster lashmari,Western Whipbird (Kangaroo Island),Endangered,Birds
Psophodes nigrogularis nigrogularis,Western Heath Whipbird,Endangered,Birds
Pterodroma leucoptera leucoptera,"Gould's Petrel, Australian Gould's Petrel",Endangered,Birds
Rostratula australis,Australian Painted Snipe,Endangered,Birds
Stagonopleura bella samueli,"Western Beautiful Firetail, Beautiful Firetail (Mt Lofty Range and Kangaroo Island)",Endangered,Birds
Sterna vittata bethunei,"New Zealand Antarctic Tern, Antarctic Tern (New Zealand)",Endangered,Birds
Stipiturus malachurus halmaturinus,Kangaroo Island Southern Emu-wren,Endangered,Birds
Stipiturus malachurus intermedius,"Fleurieu Peninsula Southern Emu-wren, Mount Lofty Southern Emu-wren",Endangered,Birds
Stipiturus malachurus parimeda,"Southern Emu-wren (Eyre Peninsula), Eyre Peninsula Southern Emu-wren",Endangered,Birds
Stipiturus mallee,Mallee Emu-wren,Endangered,Birds
Thalassarche cauta,Shy Albatross,Endangered,Birds
Thalassarche chrysostoma,Grey-headed Albatross,Endangered,Birds
Thalassarche eremita,Chatham Albatross,Endangered,Birds
Tringa nebularia,"Common Greenshank, Greenshank",Endangered,Birds
