TAXON,COMMON_NAME,SPECIES_2022,SPECIES_LUTO,MODELLED,SPECIES_TYPE,IUCN_GLOBAL_STATUS,AUS_GOV_THREAT_STATUS
Amphibians,Kimberley Rockhole Frog,Litoria_aurifera,Litoria_aurifera,Yes,Rock dwellers,,
Amphibians,Cave-dwelling Frog,Litoria_cavernicola,Litoria_cavernicola,Yes,Rock dwellers,,
Amphibians,Copland's Rock Frog,Litoria_coplandi,Litoria_coplandi,Yes,Rock dwellers,,
Amphibians,Centralian Tree Frog,Litoria_gilleni,Litoria_gilleni,Yes,Rock dwellers,,
Amphibians,Rockhole Frog,Litoria_meiriana,Litoria_meiriana,Yes,Rock dwellers,,
Amphibians,Eastern Stony Creek Frog,Litoria_wilcoxii,Litoria_wilcoxii,Yes,Rock dwellers,,
Amphibians,Northern Sandhill Frog,Arenophryne_rotunda,Arenophryne_rotunda,Yes,Burrower,,
Amphibians,Southern Sandhill Frog,Arenophryne_xiphorhyncha,Arenophryne_xiphorhyncha,Yes,Burrower,,
Amphibians,Fry's Frog,Austrochaperina_fryi,Austrochaperina_fryi,Yes,Burrower,,
Amphibians,Slender Frog,Austrochaperina_gracilipes,Austrochaperina_gracilipes,Yes,Burrower,,
Amphibians,Rain Frog,Austrochaperina_pluvialis,Austrochaperina_pluvialis,Yes,Burrower,,
Amphibians,Robust Frog,Austrochaperina_robusta,Austrochaperina_robusta,Yes,Burrower,,
Amphibians,Striped Burrowing Frog,Cyclorana_alboguttata,Cyclorana_alboguttata,Yes,Burrower,,
Amphibians,Giant Frog,Cyclorana_australis,Cyclorana_australis,Yes,Burrower,,
Amphibians,Short-footed Frog,Cyclorana_brevipes,Cyclorana_brevipes,Yes,Burrower,,
Amphibians,Hidden-ear Frog,Cyclorana_cryptotis,Cyclorana_cryptotis,Yes,Burrower,,
Amphibians,	Knife-footed Frog,Cyclorana_cultripes,Cyclorana_cultripes,Yes,Burrower,,
Amphibians,	Long-footed Frog,Cyclorana_longipes,Cyclorana_longipes,Yes,Burrower,,
Amphibians,Daly Waters Frog,Cyclorana_maculosa,Cyclorana_maculosa,Yes,Burrower,,
Amphibians,Small Frog,Cyclorana_manya,Cyclorana_manya,Yes,Burrower,,
Amphibians,New Holland Frog,Cyclorana_novaehollandiae,Cyclorana_novaehollandiae,Yes,Burrower,,
Amphibians,Wailing Frog,Cyclorana_vagitus,Cyclorana_vagita,Yes,Burrower,,
Amphibians,Rough Frog,Cyclorana_verrucosa,Cyclorana_verrucosa,Yes,Burrower,,
Amphibians,Western Spotted Frog,Heleioporus_albopunctatus,Heleioporus_albopunctatus,Yes,Burrower,,
Amphibians,Western Marsh Frog,Heleioporus_barycragus,Heleioporus_barycragus,Yes,Burrower,,
Amphibians,Moaning Frog,Heleioporus_eyrei,Heleioporus_eyrei,Yes,Burrower,,
Amphibians,Plain Frog,Heleioporus_inornatus,Heleioporus_inornatus,Yes,Burrower,,
Amphibians,Sand Frog,Heleioporus_psammophilus,Heleioporus_psammophilus,Yes,Burrower,,
Amphibians,Flat-headed Frog,Limnodynastes_depressus,Limnodynastes_depressus,Yes,Burrower,,
Amphibians,Western Bullfrog,Limnodynastes_dorsalis,Limnodynastes_dorsalis,Yes,Burrower,,
Amphibians,Barking Frog,Limnodynastes_fletcheri,Limnodynastes_fletcheri,Yes,Burrower,,
Amphibians,Giant Bullfrog,Limnodynastes_interioris,Limnodynastes_interioris,Yes,Burrower,,
Amphibians,Woodworker Frog,Limnodynastes_lignarius,Limnodynastes_lignarius,Yes,Burrower,,
Amphibians,Striped Marsh Frog,Limnodynastes_peronii,Limnodynastes_peronii,Yes,Burrower,,
Amphibians,Spotted Grass Frog,Limnodynastes_tasmaniensis,Limnodynastes_tasmaniensis,Yes,Burrower,,
Amphibians,Northern Bullfrog,Limnodynastes_terraereginae,Limnodynastes_terraereginae,Yes,Burrower,,
Amphibians,Northern Spadefoot Toad,Notaden_melanoscaphus,Notaden_melanoscaphus,Yes,Burrower,,
Amphibians,Montane Toadlet,Uperoleia_altissima,Uperoleia_altissima,Yes,Burrower,,
Amphibians,Northern Toadlet,Uperoleia_borealis,Uperoleia_borealis,Yes,Burrower,,
Amphibians,Fat Toadlet (inundata),Uperoleia_inundata,Uperoleia_inundata,Yes,Burrower,,
Amphibians,Mimic Toadlet,Uperoleia_mimula,Uperoleia_mimula,Yes,Burrower,,
Amphibians,Mjoberg's Toadlet,Uperoleia_mjobergii,Uperoleia_mjobergii,Yes,Burrower,,
Amphibians,Blacksoil Toadlet,Uperoleia_trachyderma,Uperoleia_trachyderma,Yes,Burrower,,
Amphibians,Turtle Frog,Myobatrachus_gouldii,Myobatrachus_gouldii,Yes,Burrower,,
Amphibians,White-footed Frog,Neobatrachus_albipes,Neobatrachus_albipes,Yes,Burrower,,
Amphibians,Humming Frog,Neobatrachus_pelobatoides,Neobatrachus_pelobatoides,Yes,Burrower,,
Amphibians,Painted Burrowing Frog,Neobatrachus_pictus,Neobatrachus_pictus,Yes,Burrower,,
Amphibians,Shoemaker Frog,Neobatrachus_sutor,Neobatrachus_sutor,Yes,Burrower,,
Amphibians,Goldfield's Bull Frog,Neobatrachus_wilsmorei,Neobatrachus_wilsmorei,Yes,Burrower,,
Amphibians,Holy Cross Frog,Notaden_bennettii,Notaden_bennettii,Yes,Burrower,,
Amphibians,Weigel's Toad,Notaden_weigeli,Notaden_weigeli,Yes,Burrower,,
Amphibians,Ornate Burrowing Frog,Platyplectrum_ornatum,Opisthodon_ornatus,Yes,Burrower,,
Amphibians,Spencer's Burrowing Frog,Platyplectrum_spenceri,Opisthodon_spenceri,Yes,Burrower,,
Amphibians,Marbled Frog,Limnodynastes_convexiusculus,Limnodynastes_convexiusculus,No,Burrower,,
Amphibians,Desert Spadefoot Toad,Notaden_nichollsi,Notaden_nichollsi,No,Burrower,,
Amphibians,Stonemason's Toadlet,Uperoleia_lithomoda,Uperoleia_lithomoda,No,Burrower,,
Amphibians,Slender Tree Frog,Litoria_adelaidensis,Litoria_adelaidensis,Yes,Arboreal frogs,,
Amphibians,Tasmanian Tree Frog,Litoria_burrowsae,Litoria_burrowsae,Yes,Arboreal frogs,,
Amphibians,Green Tree Frog,Litoria_caerulea,Litoria_caerulea,Yes,Arboreal frogs,,
Amphibians,Red-eyed Tree Frog,Litoria_chloris,Litoria_chloris,Yes,Arboreal frogs,,
Amphibians,Blue Mountains Tree Frog,Litoria_citropa,Litoria_citropa,Yes,Arboreal frogs,,
Amphibians,Fringed Tree Frog,Litoria_eucnemis,Litoria_eucnemis,Yes,Arboreal frogs,,
Amphibians,Dainty Green Tree Frog,Litoria_gracilenta,Litoria_gracilenta,Yes,Arboreal frogs,,
Amphibians,White-lipped Tree Frog,Litoria_infrafrenata,Litoria_infrafrenata,Yes,Arboreal frogs,,
Amphibians,Jungguy Frog,Litoria_jungguy,Litoria_jungguy,Yes,Arboreal frogs,,
Amphibians,Sharp-snouted Frog,Litoria_longirostris,Litoria_longirostris,Yes,Arboreal frogs,,
Amphibians,Roth's Tree Frog,Litoria_rothii,Litoria_rothii,Yes,Arboreal frogs,,
Amphibians,Desert Tree Frog,Litoria_rubella,Litoria_rubella,Yes,Arboreal frogs,,
Amphibians,Splendid Treefrog,Litoria_splendida,Litoria_splendida,Yes,Arboreal frogs,,
Amphibians,Barrington Tops Frog,Litoria_barringtonensis,Litoria_barringtonensis,Yes,Arboreal frogs,,
Amphibians,Northern Dwarf Tree Frog,Litoria_bicolor,Litoria_bicolor,Yes,Arboreal frogs,,
Amphibians,Green-thighed Frog,Litoria_brevipalmata,Litoria_brevipalmata,Yes,Arboreal frogs,,
Amphibians,Cooloola Sedgefrog,Litoria_cooloolensis,Litoria_cooloolensis,Yes,Arboreal frogs,,
Amphibians,Spotted-thighed Frog,Litoria_cyclorhyncha,Litoria_cyclorhyncha,Yes,Arboreal frogs,,
Amphibians,Bleating Tree Frog,Litoria_dentata,Litoria_dentata,Yes,Arboreal frogs,,
Amphibians,Buzzing Tree Frog,Litoria_electrica,Litoria_electrica,Yes,Arboreal frogs,,
Amphibians,Eastern Dwarf Tree Frog,Litoria_fallax,Litoria_fallax,Yes,Arboreal frogs,,
Amphibians,Wallum Rocketfrog,Litoria_freycineti,Litoria_freycineti,Yes,Arboreal frogs,,
Amphibians,Peter's Frog,Litoria_inermis,Litoria_inermis,Yes,Arboreal frogs,,
Amphibians,Jervis Bay Treefrog,Litoria_jervisiensis,Litoria_jervisiensis,Yes,Arboreal frogs,,
Amphibians,Heath Frog,Litoria_littlejohni,Litoria_littlejohni,Yes,Arboreal frogs,,
Amphibians,Javelin Frog,Litoria_microbelos,Litoria_microbelos,Yes,Arboreal frogs,,
Amphibians,Western Green and Golden Bell Frog,Litoria_moorei,Litoria_moorei,Yes,Arboreal frogs,,
Amphibians,Waterfall Frog,Litoria_nannotis,Litoria_nannotis,Yes,Arboreal frogs,,
Amphibians,Rocket Frog,Litoria_nasuta,Litoria_nasuta,Yes,Arboreal frogs,,
Amphibians,Pale Frog,Litoria_pallida,Litoria_pallida,Yes,Arboreal frogs,,
Amphibians,Masked Frog,Litoria_personata,Litoria_personata,Yes,Arboreal frogs,,
Amphibians,Tornier's Frog,Litoria_tornieri,Litoria_tornieri,Yes,Arboreal frogs,,
Amphibians,Bridle Frog,Litoria_nigrofrenata,Litoria_nigrofrenata,Yes,Arboreal frogs,,
Amphibians,Southern Leaf Green Tree Frog,Litoria_nudidigita,Litoria_nudidigita,Yes,Arboreal frogs,,
Amphibians,Cascade Tree Frog,Litoria_pearsoniana,Litoria_pearsoniana,Yes,Arboreal frogs,,
Amphibians,Peron's Tree Frog,Litoria_peronii,Litoria_peronii,Yes,Arboreal frogs,,
Amphibians,Leaf Green Tree Frog,Litoria_phyllochroa,Litoria_phyllochroa,Yes,Arboreal frogs,,
Amphibians,Whirring Tree Frog,Litoria_revelata,Litoria_revelata,Yes,Arboreal frogs,,
Amphibians,Green-eyed treefrog,Litoria_serrata,Litoria_genimaculata,Yes,Arboreal frogs,,
Birds,Spiny-cheeked Honeyeater,Acanthagenys_rufogularis,Acanthagenys_rufogularis,Yes,"Honeyeaters, friarbirds and chats",,
Birds,Tasmanian Thornbill,Acanthiza_ewingii,Acanthiza_ewingii,Yes,,,
Birds,Western Thornbill,Acanthiza_inornata,Acanthiza_inornata,Yes,,,
Birds,Slender-billed Thornbill,Acanthiza_iredalei,Acanthiza_iredalei,Yes,,,
Birds,Mountain Thornbill,Acanthiza_katherina,Acanthiza_katherina,Yes,,,
Birds,Striated Thornbill,Acanthiza_lineata,Acanthiza_lineata,Yes,,,
Birds,Yellow Thornbill,Acanthiza_nana,Acanthiza_nana,Yes,,,
Birds,Brown Thornbill,Acanthiza_pusilla,Acanthiza_pusilla,Yes,,,
Birds,Buff-rumped Thornbill,Acanthiza_reguloides,Acanthiza_reguloides,Yes,,,
Birds,Chestnut-rumped Thornbill,Acanthiza_uropygialis,Acanthiza_uropygialis,Yes,,,
Birds,Eastern Spinebill,Acanthorhynchus_tenuirostris,Acanthorhynchus_tenuirostris,Yes,,,
Birds,Scrubtit,Acanthornis_magna,Acanthornis_magna,Yes,,,
Birds,Brown Goshawk,Accipiter_fasciatus,Accipiter_fasciatus,Yes,"Raptors, owls, corvids and tree kingfishers",,
Birds,Grey Goshawk,Accipiter_novaehollandiae,Accipiter_novaehollandiae,Yes,"Raptors, owls, corvids and tree kingfishers",,
Birds,Australian Reed-Warbler,Acrocephalus_australis,Acrocephalus_australis,Yes,Grassland and swamp birds,,
Birds,Clamorous Reed Warbler,Acrocephalus_stentoreus,Acrocephalus_stentoreus,Yes,,,
Birds,Australian Owlet-nightjar,Aegotheles_cristatus,Aegotheles_cristatus,Yes,Insectivore birds,,
Birds,Australian Swiftlet,Aerodramus_terraereginae,Aerodramus_terraereginae,Yes,,,
Birds,Green Catbird,Ailuroedus_crassirostris,Ailuroedus_crassirostris,Yes,,,
Birds,Black-eared Catbird,Ailuroedus_melanotis,Ailuroedus_melanotis,Yes,,,
Birds,Australian Brush-turkey,Alectura_lathami,Alectura_lathami,Yes,Megapodes,,
Birds,White-browed Crake,Amaurornis_cinerea,Porzana_cinerea,Yes,Waterfowl,,
Birds,Pale-vented Bush-hen,Amaurornis_moluccana,Amaurornis_moluccana,Yes,,,
Birds,Kalkadoon Grasswren,Amytornis_ballarae,Amytornis_ballarae,Yes,,,
Birds,Grey Grasswren,Amytornis_barbatus,Amytornis_barbatus,Yes,,,
Birds,Carpentarian Grasswren,Amytornis_dorotheae,Amytornis_dorotheae,Yes,,EN,
Birds,Eyrean Grasswren,Amytornis_goyderi,Amytornis_goyderi,Yes,,,
Birds,Black Grasswren,Amytornis_housei,Amytornis_housei,Yes,,,
Birds,Short-tailed Grasswren,Amytornis_merrotsyi,Amytornis_merrotsyi,Yes,,,
Birds,Thick-billed Grasswren,Amytornis_modestus,Amytornis_modestus,Yes,,VU,
Birds,Dusky Grasswren,Amytornis_purnelli,Amytornis_purnelli,Yes,,,
Birds,Western Grasswren,Amytornis_textilis,Amytornis_textilis,Yes,,,
Birds,White-throated Grasswren,Amytornis_woodwardi,Amytornis_woodwardi,Yes,Grassland and swamp birds,VU,
Birds,Chestnut Teal,Anas_castanea,Anas_castanea,Yes,,,
Birds,Sudna Teal,Anas_gibberifrons,Anas_gibberifrons,Yes,,,
Birds,Grey Teal,Anas_gracilis,Anas_gracilis,Yes,Waterfowl,,
Birds,Pacific Black Duck,Anas_superciliosa,Anas_superciliosa,Yes,Waterfowl,,
Birds,Australasian Darter,Anhinga_novaehollandiae,Anhinga_novaehollandiae,Yes,,,
Birds,Greylag Goose,Anser_anser,Anser_anser,Yes,,,
Birds,Red Wattlebird,Anthochaera_carunculata,Anthochaera_carunculata,Yes,,,
Birds,Little Wattlebird,Anthochaera_chrysoptera,Anthochaera_chrysoptera,Yes,,,
Birds,Western Wattlebird,Anthochaera_lunulata,Anthochaera_lunulata,Yes,,,
Birds,Yellow Wattlebird,Anthochaera_paradoxa,Anthochaera_paradoxa,Yes,,,
Birds,Regent Honeyeater,Anthochaera_phrygia,Anthochaera_phrygia,Yes,,CR,
Birds,Australasian Pipit,Anthus_novaeseelandiae,Anthus_novaeseelandiae,Yes,Grassland and swamp birds,,
Birds,Sarus Crane,Antigone_antigone,Grus_antigone,Yes,Waterfowl,,
Birds,Brolga,Antigone_rubicunda,Grus_rubicunda,Yes,Waterfowl,,
Birds,Southern Whiteface,Aphelocephala_leucopsis,Aphelocephala_leucopsis,Yes,,,
Birds,Banded Whiteface,Aphelocephala_nigricincta,Aphelocephala_nigricincta,Yes,,,
Birds,Chestnut-breasted Whiteface,Aphelocephala_pectoralis,Aphelocephala_pectoralis,Yes,,,
Birds,Fork-tailed Swift,Apus_pacificus,Apus_pacificus,Yes,Insectivore birds,,
Birds,Wedge-tailed Eagle,Aquila_audax,Aquila_audax,Yes,"Raptors, owls, corvids and tree kingfishers",,
Birds,Intermediate Egret,Ardea intermedia,Ardea_intermedia,Yes,Waterfowl,,
Birds,Great Egret,Ardea_alba,Ardea_alba,Yes,Waterfowl,,
Birds,Eastern Great Egret,Ardea_modesta,Ardea_modesta,Yes,Waterfowl,,
Birds,White-necked Heron,Ardea_pacifica,Ardea_pacifica,Yes,Waterfowl,,
Birds,Great-billed Heron,Ardea_sumatrana,Ardea_sumatrana,Yes,Waterfowl,,
Birds,Australian Bustard,Ardeotis_australis,Ardeotis_australis,Yes,Grassland and swamp birds,,
Birds,Frill-necked Monarch,Arses_lorealis,Arses_lorealis,Yes,,,
Birds,Black-faced Woodswallow,Artamus_cinereus,Artamus_cinereus,Yes,Insectivore birds,,
Birds,Dusky Woodswallow,Artamus_cyanopterus,Artamus_cyanopterus,Yes,,,
Birds,White-breasted Woodswallow,Artamus_leucoryn,Artamus_leucorynchus,Yes,Insectivore birds,,
Birds,Masked Woodswallow,Artamus_personatus,Artamus_personatus,Yes,Insectivore birds,,
Birds,White-browed Woodswallow,Artamus_superciliosus,Artamus_superciliosus,Yes,Insectivore birds,,
Birds,Gibberbird,Ashbyia_lovensis,Ashbyia_lovensis,Yes,,,
Birds,Rufous Scrub-bird,Atrichornis_rufescens,Atrichornis_rufescens,Yes,,EN,
Birds,Hardhead,Aythya_australis,Aythya_australis,Yes,Waterfowl,,
Birds,Australian Ringneck,Barnardius_zonarius,Barnardius_zonarius,Yes,Cockatoos and parrots,,
Birds,Musk Duck,Biziura_lobata,Biziura_lobata,Yes,,,
Birds,Bridled Honeyeater,Bolemoreus_frenatus,Lichenostomus_frenatus,Yes,,,
Birds,Eungella Honeyeater,Bolemoreus_hindwoodi,Lichenostomus_hindwoodi,Yes,,,
Birds,Australasian Bittern,Botaurus_poiciloptilus,Botaurus_poiciloptilus,Yes,,EN,
Birds,Striated Heron,Butorides striata,Butorides_striatus,Yes,Waterfowl,,
Birds,Sulphur-crested Cockatoo,Cacatua_galerita,Cacatua_galerita,Yes,Cockatoos and parrots,,
Birds,Major Mitchell's Cockatoo,Cacatua_leadbeateri,Lophochroa_leadbeateri,Yes,Cockatoos and parrots,,
Birds,Western Corella,Cacatua_pastinator,Cacatua_pastinator,Yes,,,
Birds,Long-billed Corella,Cacatua_tenuirostris,Cacatua_tenuirostris,Yes,,,
Birds,Chestnut-breasted Cuckoo,Cacomantis_castaneiventris,Cacomantis_castaneiventris,Yes,,,
Birds,Fan-tailed Cuckoo,Cacomantis_flabelliformis,Cacomantis_flabelliformis,Yes,Insectivore birds,,
Birds,Pallid Cuckoo,Cacomantis_pallidus,Cacomantis_pallidus,Yes,Insectivore birds,,
Birds,Brush Cuckoo,Cacomantis_variolosus,Cacomantis_variolosus,Yes,Insectivore birds,,
Birds,Rufous Fieldwren,Calamanthus_campestris,Calamanthus_campestris,Yes,,,
Birds,Shy Heathwren,Calamanthus_cautus,Hylacola_cautus,Yes,,,
Birds,Striated Fieldwren,Calamanthus_fuliginosus,Calamanthus_fuliginosus,Yes,,,
Birds,Chestnut-rumped Heathwren,Calamanthus_pyrrhopygius,Hylacola_pyrrhopygia,Yes,,,
Birds,Yellow-faced Honeyeater,Caligavis_chrysops,Lichenostomus_chrysops,Yes,,,
